L(l),4,T,24

Period,Day Ahead Price
0,18.4647
1,13.8457
2,10.5212
3,11.749
4,12.0852
5,12.6698
6,10.849
7,11.7257
8,12.7686
9,11.4888
10,13.6425
11,12.3937
12,14.3029
13,14.3214
14,12.3172
15,12.5135
16,12.2287
17,13.2321
18,13.15
19,12.4148
20,13.3975
21,13.5143
22,13.793
23,13.5349

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,17.4983,86.3061
0,1,25.8244,115.218
0,2,4.63953,126.056
0,3,23.1031,98.9916
0,4,8.01824,120.949
0,5,15.6628,130.346
0,6,13.9252,86.3132
0,7,10.1038,130.319
0,8,3.23458,60.456
0,9,0.871523,53.2033
0,10,10.3415,17.1673
0,11,2.62252,109.388
0,12,20.8218,105.775
0,13,19.8904,39.1539
0,14,0.338647,145.397
0,15,8.05677,60.1959
0,16,8.86539,42.0973
0,17,0.923002,24.8126
0,18,15.1006,113.384
0,19,3.83255,23.319
0,20,5.31034,91.005
0,21,21.9253,11.5608
0,22,25.6441,37.3443
0,23,19.3002,122.677
1,0,17.4983,86.3061
1,1,25.8244,115.218
1,2,4.63953,126.056
1,3,23.1031,98.9916
1,4,8.01824,120.949
1,5,15.6628,130.346
1,6,13.9252,86.3132
1,7,10.1038,130.319
1,8,13.8601,93.5252
1,9,22.2766,81.4851
1,10,7.8044,8.189
1,11,2.80323,19.4456
1,12,25.9643,119.555
1,13,25.2948,74.788
1,14,12.5512,103.323
1,15,1.10632,122.327
1,16,3.75954,147.223
1,17,4.46937,17.791
1,18,24.5319,145.098
1,19,9.12304,109.765
1,20,14.345,96.253
1,21,16.6062,100.009
1,22,17.524,129.826
1,23,6.60647,82.5194
2,0,17.4983,86.3061
2,1,25.8244,115.218
2,2,4.63953,126.056
2,3,23.1031,98.9916
2,4,8.01824,120.949
2,5,15.6628,130.346
2,6,13.9252,86.3132
2,7,10.3201,82.2049
2,8,9.41051,26.1971
2,9,7.8334,85.3452
2,10,10.1172,60.1815
2,11,6.12653,36.9467
2,12,18.2936,28.4997
2,13,23.6565,82.2293
2,14,4.63461,18.6112
2,15,11.3961,137.631
2,16,1.36559,53.5485
2,17,0.433592,136.223
2,18,4.89587,46.904
2,19,25.1959,14.9876
2,20,18.7128,23.5396
2,21,8.12176,42.4214
2,22,19.2747,140.514
2,23,18.2739,117.499
3,0,17.4983,86.3061
3,1,25.8244,115.218
3,2,4.63953,126.056
3,3,23.1031,98.9916
3,4,8.01824,120.949
3,5,15.6628,130.346
3,6,13.9252,86.3132
3,7,10.3201,82.2049
3,8,20.0633,63.468
3,9,3.27685,98.1317
3,10,8.90701,78.4613
3,11,11.0009,116.313
3,12,19.7158,139.116
3,13,14.4163,129.969
3,14,7.27935,4.02685
3,15,18.142,104.815
3,16,12.1542,130.593
3,17,0.941596,89.684
3,18,15.6846,75.2521
3,19,9.17205,57.2952
3,20,21.1757,15.6156
3,21,14.2403,25.4236
3,22,4.1204,6.74266
3,23,24.3664,56.0395
4,0,17.4983,86.3061
4,1,25.8244,115.218
4,2,4.63953,126.056
4,3,23.1031,98.9916
4,4,8.01824,120.949
4,5,15.6628,130.346
4,6,5.69974,107.401
4,7,16.3326,92.0428
4,8,21.2304,105.463
4,9,20.907,124.337
4,10,23.5524,10.5004
4,11,22.2574,65.5038
4,12,20.4772,13.6667
4,13,1.48509,146.394
4,14,0.433305,31.9483
4,15,18.2357,97.8205
4,16,25.8178,146.863
4,17,4.4718,32.9438
4,18,1.89688,126.487
4,19,8.92107,128.682
4,20,6.09632,95.6461
4,21,20.3666,87.2819
4,22,5.37608,76.8494
4,23,10.3171,87.4254
5,0,17.4983,86.3061
5,1,25.8244,115.218
5,2,4.63953,126.056
5,3,23.1031,98.9916
5,4,8.01824,120.949
5,5,15.6628,130.346
5,6,5.69974,107.401
5,7,16.3326,92.0428
5,8,21.341,15.4368
5,9,11.5251,114.246
5,10,8.16871,112.414
5,11,23.455,117.459
5,12,22.7937,48.7701
5,13,0.151444,74.0485
5,14,9.66639,72.2237
5,15,2.6271,97.4144
5,16,15.4399,52.255
5,17,22.8227,66.3142
5,18,20.7928,100.376
5,19,16.0718,94.7292
5,20,22.4722,65.2761
5,21,8.34975,53.3402
5,22,24.8811,122.957
5,23,10.0128,54.8737
6,0,17.4983,86.3061
6,1,25.8244,115.218
6,2,4.63953,126.056
6,3,23.1031,98.9916
6,4,8.01824,120.949
6,5,15.6628,130.346
6,6,5.69974,107.401
6,7,0.886684,49.6599
6,8,20.0129,92.9492
6,9,4.59117,19.5621
6,10,1.25499,61.4211
6,11,7.82102,50.6413
6,12,20.1779,13.1797
6,13,22.9376,92.0325
6,14,11.92,59.1929
6,15,20.9085,92.382
6,16,5.23225,60.3705
6,17,18.5203,48.3161
6,18,8.21086,50.1126
6,19,0.635148,33.3224
6,20,11.4553,55.3219
6,21,13.1415,47.9483
6,22,22.9648,38.3317
6,23,16.6413,29.9553
7,0,17.4983,86.3061
7,1,25.8244,115.218
7,2,4.63953,126.056
7,3,23.1031,98.9916
7,4,8.01824,120.949
7,5,15.6628,130.346
7,6,5.69974,107.401
7,7,0.886684,49.6599
7,8,13.7624,77.5116
7,9,15.0033,142.008
7,10,14.8071,32.7259
7,11,17.0156,35.345
7,12,15.3767,7.46149
7,13,14.0577,48.2461
7,14,20.4435,22.2729
7,15,14.1824,128.2
7,16,1.29245,116.111
7,17,9.39368,9.1056
7,18,7.18173,93.1468
7,19,17.508,93.9043
7,20,9.64938,92.5232
7,21,24.7134,44.8649
7,22,6.24238,56.3842
7,23,6.94674,25.5465
8,0,17.4983,86.3061
8,1,25.8244,115.218
8,2,4.63953,126.056
8,3,23.1031,98.9916
8,4,8.01824,120.949
8,5,18.4445,26.5295
8,6,9.34667,141.483
8,7,18.7915,27.8266
8,8,9.26245,120.447
8,9,0.848832,41.2871
8,10,21.4185,113.699
8,11,4.78819,50.5908
8,12,14.9797,27.6077
8,13,7.75559,1.82828
8,14,20.1961,14.657
8,15,20.4946,108.94
8,16,20.9685,143.881
8,17,10.9299,52.0259
8,18,0.99273,147.967
8,19,16.9575,3.16489
8,20,16.2658,29.3274
8,21,25.5011,95.2475
8,22,0.816955,75.1611
8,23,3.76343,101.296
9,0,17.4983,86.3061
9,1,25.8244,115.218
9,2,4.63953,126.056
9,3,23.1031,98.9916
9,4,8.01824,120.949
9,5,18.4445,26.5295
9,6,9.34667,141.483
9,7,18.7915,27.8266
9,8,13.7288,96.5382
9,9,8.7219,22.6481
9,10,12.4482,21.9786
9,11,15.5262,37.8086
9,12,0.909059,42.0704
9,13,11.7704,85.8006
9,14,12.7351,146.554
9,15,18.2317,39.305
9,16,20.1302,12.0368
9,17,5.4513,77.5243
9,18,9.87554,130.822
9,19,9.68021,135.118
9,20,0.369023,81.5519
9,21,9.88641,148.192
9,22,15.5913,67.2152
9,23,3.86481,46.6372
10,0,17.4983,86.3061
10,1,25.8244,115.218
10,2,4.63953,126.056
10,3,23.1031,98.9916
10,4,8.01824,120.949
10,5,18.4445,26.5295
10,6,9.34667,141.483
10,7,9.87316,126.086
10,8,19.8138,48.6533
10,9,17.7262,30.973
10,10,15.7038,19.3278
10,11,8.2659,145.689
10,12,23.7667,139.626
10,13,9.64312,61.0678
10,14,10.2839,82.0916
10,15,0.868151,98.3526
10,16,1.19073,16.141
10,17,18.0105,98.2073
10,18,4.00168,97.6259
10,19,3.78197,109.572
10,20,20.4058,63.5795
10,21,18.2977,85.1545
10,22,23.5956,0.928558
10,23,25.093,42.7935
11,0,17.4983,86.3061
11,1,25.8244,115.218
11,2,4.63953,126.056
11,3,23.1031,98.9916
11,4,8.01824,120.949
11,5,18.4445,26.5295
11,6,9.34667,141.483
11,7,9.87316,126.086
11,8,8.87193,122.873
11,9,8.97228,19.1935
11,10,16.8431,98.6244
11,11,10.5394,83.6718
11,12,25.3897,26.9598
11,13,23.5213,19.658
11,14,1.24673,58.7941
11,15,14.5015,62.6347
11,16,13.2803,108.311
11,17,10.2931,144.972
11,18,3.34803,149.307
11,19,17.8818,87.5654
11,20,4.52742,63.1786
11,21,8.82615,84.3175
11,22,20.3093,112.512
11,23,17.3923,16.4685
12,0,17.4983,86.3061
12,1,25.8244,115.218
12,2,4.63953,126.056
12,3,23.1031,98.9916
12,4,8.01824,120.949
12,5,18.4445,26.5295
12,6,3.98152,78.5279
12,7,17.2536,18.2301
12,8,18.3931,45.0249
12,9,4.50644,107.694
12,10,16.9131,140.305
12,11,11.7762,74.2364
12,12,2.5213,88.5293
12,13,9.95712,144.749
12,14,6.51112,101.474
12,15,24.9559,52.6643
12,16,21.2738,18.644
12,17,16.6347,20.2311
12,18,23.9984,101.559
12,19,13.1406,97.88
12,20,21.8163,68.0894
12,21,21.7858,10.8392
12,22,2.37143,46.3438
12,23,0.764492,10.9032
13,0,17.4983,86.3061
13,1,25.8244,115.218
13,2,4.63953,126.056
13,3,23.1031,98.9916
13,4,8.01824,120.949
13,5,18.4445,26.5295
13,6,3.98152,78.5279
13,7,17.2536,18.2301
13,8,10.0142,117.33
13,9,11.9258,99.1579
13,10,17.0609,139.796
13,11,14.356,123.862
13,12,19.2486,132.415
13,13,11.9424,83.4584
13,14,17.468,78.1267
13,15,16.1106,83.3264
13,16,8.73894,118.986
13,17,14.0628,26.3407
13,18,19.8326,108.922
13,19,4.69219,48.4252
13,20,21.3244,4.94847
13,21,5.39475,99.2361
13,22,10.2961,43.9742
13,23,6.48693,62.2521
14,0,17.4983,86.3061
14,1,25.8244,115.218
14,2,4.63953,126.056
14,3,23.1031,98.9916
14,4,8.01824,120.949
14,5,18.4445,26.5295
14,6,3.98152,78.5279
14,7,5.22614,79.8727
14,8,18.5179,38.4761
14,9,13.1856,37.8085
14,10,5.8608,41.0936
14,11,21.8442,130.715
14,12,14.495,92.9689
