L(l),2,K,4,T,5,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,13.5701
1,6.65344
2,12.0948
3,15.5777
4,12.6896

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,14.8682,146.186
0,1,0.393615,136.383
0,2,25.6124,3.26702
0,3,18.4783,72.0047
0,4,0.501743,47.9665
1,0,14.8682,146.186
1,1,0.393615,136.383
1,2,25.6124,3.26702
1,3,18.4783,72.0047
1,4,20.9181,103.726
2,0,14.8682,146.186
2,1,0.393615,136.383
2,2,25.6124,3.26702
2,3,18.4783,72.0047
2,4,0.279448,31.1381
3,0,14.8682,146.186
3,1,0.393615,136.383
3,2,25.6124,3.26702
3,3,18.4783,72.0047
3,4,0.578601,140.695
4,0,14.8682,146.186
4,1,0.393615,136.383
4,2,25.6124,3.26702
4,3,17.5386,37.7126
4,4,4.20026,69.1601
5,0,14.8682,146.186
5,1,0.393615,136.383
5,2,25.6124,3.26702
5,3,17.5386,37.7126
5,4,23.024,40.9636
6,0,14.8682,146.186
6,1,0.393615,136.383
6,2,25.6124,3.26702
6,3,17.5386,37.7126
6,4,5.49294,73.7744
7,0,14.8682,146.186
7,1,0.393615,136.383
7,2,25.6124,3.26702
7,3,17.5386,37.7126
7,4,3.74214,50.8939
8,0,14.8682,146.186
8,1,0.393615,136.383
8,2,25.6124,3.26702
8,3,11.1285,129.027
8,4,20.1594,113.479
9,0,14.8682,146.186
9,1,0.393615,136.383
9,2,25.6124,3.26702
9,3,11.1285,129.027
9,4,23.3787,85.4902
10,0,14.8682,146.186
10,1,0.393615,136.383
10,2,25.6124,3.26702
10,3,11.1285,129.027
10,4,5.483,30.1337
11,0,14.8682,146.186
11,1,0.393615,136.383
11,2,25.6124,3.26702
11,3,11.1285,129.027
11,4,7.98451,147.374
12,0,14.8682,146.186
12,1,0.393615,136.383
12,2,25.6124,3.26702
12,3,11.0822,48.3375
12,4,12.9801,10.5133
13,0,14.8682,146.186
13,1,0.393615,136.383
13,2,25.6124,3.26702
13,3,11.0822,48.3375
13,4,4.29885,105.686
14,0,14.8682,146.186
14,1,0.393615,136.383
14,2,25.6124,3.26702
14,3,11.0822,48.3375
14,4,1.92086,21.9741
15,0,14.8682,146.186
15,1,0.393615,136.383
15,2,25.6124,3.26702
15,3,11.0822,48.3375
15,4,16.4904,13.9765
16,0,14.8682,146.186
16,1,0.393615,136.383
16,2,11.0783,64.7301
16,3,17.1283,6.6635
16,4,12.123,65.8178
17,0,14.8682,146.186
17,1,0.393615,136.383
17,2,11.0783,64.7301
17,3,17.1283,6.6635
17,4,20.4018,71.5528
18,0,14.8682,146.186
18,1,0.393615,136.383
18,2,11.0783,64.7301
18,3,17.1283,6.6635
18,4,16.8057,121.041
19,0,14.8682,146.186
19,1,0.393615,136.383
19,2,11.0783,64.7301
19,3,17.1283,6.6635
19,4,10.7896,121.188
20,0,14.8682,146.186
20,1,0.393615,136.383
20,2,11.0783,64.7301
20,3,3.11581,10.7799
20,4,6.96816,45.0783
21,0,14.8682,146.186
21,1,0.393615,136.383
21,2,11.0783,64.7301
21,3,3.11581,10.7799
21,4,2.1063,71.891
22,0,14.8682,146.186
22,1,0.393615,136.383
22,2,11.0783,64.7301
22,3,3.11581,10.7799
22,4,20.6011,33.741
23,0,14.8682,146.186
23,1,0.393615,136.383
23,2,11.0783,64.7301
23,3,3.11581,10.7799
23,4,21.2827,85.157
24,0,14.8682,146.186
24,1,0.393615,136.383
24,2,11.0783,64.7301
24,3,16.7728,67.1551
24,4,25.5181,107.662
25,0,14.8682,146.186
25,1,0.393615,136.383
25,2,11.0783,64.7301
25,3,16.7728,67.1551
25,4,3.57884,28.8524
26,0,14.8682,146.186
26,1,0.393615,136.383
26,2,11.0783,64.7301
26,3,16.7728,67.1551
26,4,23.8846,66.7116
27,0,14.8682,146.186
27,1,0.393615,136.383
27,2,11.0783,64.7301
27,3,16.7728,67.1551
27,4,4.54589,62.6809
28,0,14.8682,146.186
28,1,0.393615,136.383
28,2,11.0783,64.7301
28,3,23.4055,87.5886
28,4,13.3857,51.0273
29,0,14.8682,146.186
29,1,0.393615,136.383
29,2,11.0783,64.7301
29,3,23.4055,87.5886
29,4,3.18363,88.3069
30,0,14.8682,146.186
30,1,0.393615,136.383
30,2,11.0783,64.7301
30,3,23.4055,87.5886
30,4,12.6536,113.504
31,0,14.8682,146.186
31,1,0.393615,136.383
31,2,11.0783,64.7301
31,3,23.4055,87.5886
31,4,17.7291,142.942
32,0,14.8682,146.186
32,1,0.393615,136.383
32,2,14.0586,142.198
32,3,19.5984,128.138
32,4,5.0824,69.9862
33,0,14.8682,146.186
33,1,0.393615,136.383
33,2,14.0586,142.198
33,3,19.5984,128.138
33,4,11.1791,126.277
34,0,14.8682,146.186
34,1,0.393615,136.383
34,2,14.0586,142.198
34,3,19.5984,128.138
34,4,7.11136,126.742
35,0,14.8682,146.186
35,1,0.393615,136.383
35,2,14.0586,142.198
35,3,19.5984,128.138
35,4,16.894,81.228
36,0,14.8682,146.186
36,1,0.393615,136.383
36,2,14.0586,142.198
36,3,25.8713,129.468
36,4,3.78228,109.617
37,0,14.8682,146.186
37,1,0.393615,136.383
37,2,14.0586,142.198
37,3,25.8713,129.468
37,4,0.540627,140.674
38,0,14.8682,146.186
38,1,0.393615,136.383
38,2,14.0586,142.198
38,3,25.8713,129.468
38,4,24.8488,125.904
39,0,14.8682,146.186
39,1,0.393615,136.383
39,2,14.0586,142.198
39,3,25.8713,129.468
39,4,13.144,140.578
40,0,14.8682,146.186
40,1,0.393615,136.383
40,2,14.0586,142.198
40,3,9.88408,57.1121
40,4,14.4848,96.4777
41,0,14.8682,146.186
41,1,0.393615,136.383
41,2,14.0586,142.198
41,3,9.88408,57.1121
41,4,3.36793,71.3616
42,0,14.8682,146.186
42,1,0.393615,136.383
42,2,14.0586,142.198
42,3,9.88408,57.1121
42,4,2.28616,45.6567
43,0,14.8682,146.186
43,1,0.393615,136.383
43,2,14.0586,142.198
43,3,9.88408,57.1121
43,4,23.234,90.4143
44,0,14.8682,146.186
44,1,0.393615,136.383
44,2,14.0586,142.198
44,3,25.6775,122.292
44,4,16.7586,2.40956
45,0,14.8682,146.186
45,1,0.393615,136.383
45,2,14.0586,142.198
45,3,25.6775,122.292
45,4,4.97834,19.6854
46,0,14.8682,146.186
46,1,0.393615,136.383
46,2,14.0586,142.198
46,3,25.6775,122.292
46,4,20.0916,131.005
47,0,14.8682,146.186
47,1,0.393615,136.383
47,2,14.0586,142.198
47,3,25.6775,122.292
47,4,2.18875,145.235
48,0,14.8682,146.186
48,1,0.393615,136.383
48,2,4.82602,26.2232
48,3,3.0561,38.3889
48,4,8.83841,77.1222
49,0,14.8682,146.186
49,1,0.393615,136.383
49,2,4.82602,26.2232
49,3,3.0561,38.3889
49,4,21.0621,92.0179
50,0,14.8682,146.186
50,1,0.393615,136.383
50,2,4.82602,26.2232
50,3,3.0561,38.3889
50,4,9.33655,68.9778
51,0,14.8682,146.186
51,1,0.393615,136.383
51,2,4.82602,26.2232
51,3,3.0561,38.3889
51,4,4.0293,75.6856
52,0,14.8682,146.186
52,1,0.393615,136.383
52,2,4.82602,26.2232
52,3,15.5415,56.3219
52,4,4.95648,26.365
53,0,14.8682,146.186
53,1,0.393615,136.383
53,2,4.82602,26.2232
53,3,15.5415,56.3219
53,4,11.5022,21.9533
54,0,14.8682,146.186
54,1,0.393615,136.383
54,2,4.82602,26.2232
54,3,15.5415,56.3219
54,4,0.393271,142.19
55,0,14.8682,146.186
55,1,0.393615,136.383
55,2,4.82602,26.2232
55,3,15.5415,56.3219
55,4,2.17209,85.8348
56,0,14.8682,146.186
56,1,0.393615,136.383
56,2,4.82602,26.2232
56,3,24.5661,97.754
56,4,15.369,31.9617
57,0,14.8682,146.186
57,1,0.393615,136.383
57,2,4.82602,26.2232
57,3,24.5661,97.754
57,4,1.24736,101.857
58,0,14.8682,146.186
58,1,0.393615,136.383
58,2,4.82602,26.2232
58,3,24.5661,97.754
58,4,13.4538,141.239
59,0,14.8682,146.186
59,1,0.393615,136.383
59,2,4.82602,26.2232
59,3,24.5661,97.754
59,4,7.32699,24.3023
60,0,14.8682,146.186
60,1,0.393615,136.383
60,2,4.82602,26.2232
60,3,16.0812,98.3329
60,4,24.899,70.9923
61,0,14.8682,146.186
61,1,0.393615,136.383
61,2,4.82602,26.2232
61,3,16.0812,98.3329
61,4,7.62452,109.562
62,0,14.8682,146.186
62,1,0.393615,136.383
62,2,4.82602,26.2232
62,3,16.0812,98.3329
62,4,9.0128,56.615
63,0,14.8682,146.186
63,1,0.393615,136.383
63,2,4.82602,26.2232
63,3,16.0812,98.3329
63,4,18.1647,102.988
64,0,14.8682,146.186
64,1,9.12854,21.5785
64,2,23.25,119.79
64,3,3.42485,43.9608
64,4,23.1811,76.3088
65,0,14.8682,146.186
65,1,9.12854,21.5785
65,2,23.25,119.79
65,3,3.42485,43.9608
65,4,7.80098,37.6019
66,0,14.8682,146.186
66,1,9.12854,21.5785
66,2,23.25,119.79
66,3,3.42485,43.9608
66,4,25.183,68.2516
67,0,14.8682,146.186
67,1,9.12854,21.5785
67,2,23.25,119.79
67,3,3.42485,43.9608
67,4,19.6365,23.8817
68,0,14.8682,146.186
68,1,9.12854,21.5785
68,2,23.25,119.79
68,3,23.5812,83.9615
68,4,16.4002,29.6466
69,0,14.8682,146.186
69,1,9.12854,21.5785
69,2,23.25,119.79
69,3,23.5812,83.9615
69,4,7.94474,96.8855
70,0,14.8682,146.186
70,1,9.12854,21.5785
70,2,23.25,119.79
70,3,23.5812,83.9615
70,4,3.78495,58.3663
71,0,14.8682,146.186
71,1,9.12854,21.5785
71,2,23.25,119.79
71,3,23.5812,83.9615
71,4,5.67151,110.504
72,0,14.8682,146.186
72,1,9.12854,21.5785
72,2,23.25,119.79
72,3,3.98454,49.9814
72,4,15.6569,39.9166
73,0,14.8682,146.186
73,1,9.12854,21.5785
73,2,23.25,119.79
73,3,3.98454,49.9814
73,4,10.8091,17.9463
74,0,14.8682,146.186
74,1,9.12854,21.5785
74,2,23.25,119.79
74,3,3.98454,49.9814
74,4,5.40026,104.632
75,0,14.8682,146.186
75,1,9.12854,21.5785
75,2,23.25,119.79
75,3,3.98454,49.9814
75,4,7.32308,24.8037
76,0,14.8682,146.186
76,1,9.12854,21.5785
76,2,23.25,119.79
76,3,22.9318,121.805
76,4,4.44147,86.2362
77,0,14.8682,146.186
77,1,9.12854,21.5785
77,2,23.25,119.79
77,3,22.9318,121.805
77,4,23.29,77.6208
78,0,14.8682,146.186
78,1,9.12854,21.5785
78,2,23.25,119.79
78,3,22.9318,121.805
78,4,24.7609,89.1618
79,0,14.8682,146.186
79,1,9.12854,21.5785
79,2,23.25,119.79
79,3,22.9318,121.805
79,4,5.30548,126.588
80,0,14.8682,146.186
80,1,9.12854,21.5785
80,2,16.0728,119.638
80,3,9.81844,0.274782
80,4,2.68158,75.6142
81,0,14.8682,146.186
81,1,9.12854,21.5785
81,2,16.0728,119.638
81,3,9.81844,0.274782
81,4,2.45966,10.7573
82,0,14.8682,146.186
82,1,9.12854,21.5785
82,2,16.0728,119.638
82,3,9.81844,0.274782
82,4,24.9368,127.478
83,0,14.8682,146.186
83,1,9.12854,21.5785
83,2,16.0728,119.638
83,3,9.81844,0.274782
83,4,6.0041,88.4825
84,0,14.8682,146.186
84,1,9.12854,21.5785
84,2,16.0728,119.638
84,3,22.9813,3.41114
84,4,1.2349,80.4741
85,0,14.8682,146.186
85,1,9.12854,21.5785
85,2,16.0728,119.638
85,3,22.9813,3.41114
85,4,6.13045,28.9607
86,0,14.8682,146.186
86,1,9.12854,21.5785
86,2,16.0728,119.638
86,3,22.9813,3.41114
86,4,24.0657,68.0882
87,0,14.8682,146.186
87,1,9.12854,21.5785
87,2,16.0728,119.638
87,3,22.9813,3.41114
87,4,24.1738,79.1684
88,0,14.8682,146.186
88,1,9.12854,21.5785
88,2,16.0728,119.638
88,3,11.6879,117.616
88,4,18.7208,51.8248
89,0,14.8682,146.186
89,1,9.12854,21.5785
89,2,16.0728,119.638
89,3,11.6879,117.616
89,4,16.8332,139.16
90,0,14.8682,146.186
90,1,9.12854,21.5785
90,2,16.0728,119.638
90,3,11.6879,117.616
90,4,1.1191,139.363
91,0,14.8682,146.186
91,1,9.12854,21.5785
91,2,16.0728,119.638
91,3,11.6879,117.616
91,4,2.42039,32.0802
92,0,14.8682,146.186
92,1,9.12854,21.5785
92,2,16.0728,119.638
92,3,15.7733,30.4978
92,4,13.1039,148.329
93,0,14.8682,146.186
93,1,9.12854,21.5785
93,2,16.0728,119.638
93,3,15.7733,30.4978
93,4,19.0148,68.4506
94,0,14.8682,146.186
94,1,9.12854,21.5785
94,2,16.0728,119.638
94,3,15.7733,30.4978
94,4,15.1651,140.31
95,0,14.8682,146.186
95,1,9.12854,21.5785
95,2,16.0728,119.638
95,3,15.7733,30.4978
95,4,7.80675,102.962
96,0,14.8682,146.186
96,1,9.12854,21.5785
96,2,10.7402,90.1028
96,3,16.5975,90.2573
96,4,11.4268,59.2293
97,0,14.8682,146.186
97,1,9.12854,21.5785
97,2,10.7402,90.1028
