L(l),2,K,4,T,5,No arbitrage?,No arbitrage!

Period,Day Ahead Price
0,13
1,13
2,13
3,13
4,13

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,13,75
0,1,15.7577,37.093
0,2,14.3578,40.1099
0,3,17.7045,17.206
0,4,28.5631,19.9268
1,0,13,75
1,1,15.7577,37.093
1,2,14.3578,40.1099
1,3,17.7045,17.206
1,4,13.3088,12.2987
2,0,13,75
2,1,15.7577,37.093
2,2,14.3578,40.1099
2,3,17.7045,17.206
2,4,20.787,22.9199
3,0,13,75
3,1,15.7577,37.093
3,2,14.3578,40.1099
3,3,17.7045,17.206
3,4,8.1589,13.6786
4,0,13,75
4,1,15.7577,37.093
4,2,14.3578,40.1099
4,3,6.58085,45.9981
4,4,4.52256,3.40995
5,0,13,75
5,1,15.7577,37.093
5,2,14.3578,40.1099
5,3,6.58085,45.9981
5,4,4.9346,7.61438
6,0,13,75
6,1,15.7577,37.093
6,2,14.3578,40.1099
6,3,6.58085,45.9981
6,4,1.92054,79.3879
7,0,13,75
7,1,15.7577,37.093
7,2,14.3578,40.1099
7,3,6.58085,45.9981
7,4,14.9457,93.5802
8,0,13,75
8,1,15.7577,37.093
8,2,14.3578,40.1099
8,3,22.2759,57.9233
8,4,22.5763,47.3426
9,0,13,75
9,1,15.7577,37.093
9,2,14.3578,40.1099
9,3,22.2759,57.9233
9,4,20.0346,84.3467
10,0,13,75
10,1,15.7577,37.093
10,2,14.3578,40.1099
10,3,22.2759,57.9233
10,4,19.312,17.2017
11,0,13,75
11,1,15.7577,37.093
11,2,14.3578,40.1099
11,3,22.2759,57.9233
11,4,27.1806,82.8022
12,0,13,75
12,1,15.7577,37.093
12,2,14.3578,40.1099
12,3,10.8702,39.3122
12,4,6.8756,51.9705
13,0,13,75
13,1,15.7577,37.093
13,2,14.3578,40.1099
13,3,10.8702,39.3122
13,4,13.3758,31.2767
14,0,13,75
14,1,15.7577,37.093
14,2,14.3578,40.1099
14,3,10.8702,39.3122
14,4,21.9901,23.7926
15,0,13,75
15,1,15.7577,37.093
15,2,14.3578,40.1099
15,3,10.8702,39.3122
15,4,1.23933,50.2088
16,0,13,75
16,1,15.7577,37.093
16,2,16.8867,33.385
16,3,10.1748,52.6906
16,4,3.10895,46.2416
17,0,13,75
17,1,15.7577,37.093
17,2,16.8867,33.385
17,3,10.1748,52.6906
17,4,15.6379,68.5284
18,0,13,75
18,1,15.7577,37.093
18,2,16.8867,33.385
18,3,10.1748,52.6906
18,4,13.512,49.2311
19,0,13,75
19,1,15.7577,37.093
19,2,16.8867,33.385
19,3,10.1748,52.6906
19,4,8.44049,46.7613
20,0,13,75
20,1,15.7577,37.093
20,2,16.8867,33.385
20,3,16.369,42.6432
20,4,16.2434,35.6075
21,0,13,75
21,1,15.7577,37.093
21,2,16.8867,33.385
21,3,16.369,42.6432
21,4,16.2361,53.6673
22,0,13,75
22,1,15.7577,37.093
22,2,16.8867,33.385
22,3,16.369,42.6432
22,4,27.7388,31.4886
23,0,13,75
23,1,15.7577,37.093
23,2,16.8867,33.385
23,3,16.369,42.6432
23,4,5.25761,49.8094
24,0,13,75
24,1,15.7577,37.093
24,2,16.8867,33.385
24,3,24.8328,1.99052
24,4,37.7669,4.22945
25,0,13,75
25,1,15.7577,37.093
25,2,16.8867,33.385
25,3,24.8328,1.99052
25,4,13.366,1.88932
26,0,13,75
26,1,15.7577,37.093
26,2,16.8867,33.385
26,3,24.8328,1.99052
26,4,46.7329,0.600195
27,0,13,75
27,1,15.7577,37.093
27,2,16.8867,33.385
27,3,24.8328,1.99052
27,4,1.46518,1.2431
28,0,13,75
28,1,15.7577,37.093
28,2,16.8867,33.385
28,3,16.1702,36.2156
28,4,24.9802,36.6256
29,0,13,75
29,1,15.7577,37.093
29,2,16.8867,33.385
29,3,16.1702,36.2156
29,4,19.2169,56.3422
30,0,13,75
30,1,15.7577,37.093
30,2,16.8867,33.385
30,3,16.1702,36.2156
30,4,0.395621,48.1137
31,0,13,75
31,1,15.7577,37.093
31,2,16.8867,33.385
31,3,16.1702,36.2156
31,4,20.088,3.78102
32,0,13,75
32,1,15.7577,37.093
32,2,19.9745,35.194
32,3,30.2025,5.97507
32,4,13.2006,0.540632
33,0,13,75
33,1,15.7577,37.093
33,2,19.9745,35.194
33,3,30.2025,5.97507
33,4,36.2523,8.05503
34,0,13,75
34,1,15.7577,37.093
34,2,19.9745,35.194
34,3,30.2025,5.97507
34,4,25.3937,14.7009
35,0,13,75
35,1,15.7577,37.093
35,2,19.9745,35.194
35,3,30.2025,5.97507
35,4,45.9634,0.603709
36,0,13,75
36,1,15.7577,37.093
36,2,19.9745,35.194
36,3,24.2824,33.1115
36,4,11.25,30.1117
37,0,13,75
37,1,15.7577,37.093
37,2,19.9745,35.194
37,3,24.2824,33.1115
37,4,25.3796,10.8177
38,0,13,75
38,1,15.7577,37.093
38,2,19.9745,35.194
38,3,24.2824,33.1115
38,4,31.8514,53.8179
39,0,13,75
39,1,15.7577,37.093
39,2,19.9745,35.194
39,3,24.2824,33.1115
39,4,28.6486,37.6989
40,0,13,75
40,1,15.7577,37.093
40,2,19.9745,35.194
40,3,15.0475,50.5076
40,4,15.1324,1.02186
41,0,13,75
41,1,15.7577,37.093
41,2,19.9745,35.194
41,3,15.0475,50.5076
41,4,22.9583,67.9792
42,0,13,75
42,1,15.7577,37.093
42,2,19.9745,35.194
42,3,15.0475,50.5076
42,4,2.96879,120.133
43,0,13,75
43,1,15.7577,37.093
43,2,19.9745,35.194
43,3,15.0475,50.5076
43,4,19.1306,12.8961
44,0,13,75
44,1,15.7577,37.093
44,2,19.9745,35.194
44,3,10.3658,51.1818
44,4,14.7016,42.1336
45,0,13,75
45,1,15.7577,37.093
45,2,19.9745,35.194
45,3,10.3658,51.1818
45,4,1.32728,46.9475
46,0,13,75
46,1,15.7577,37.093
46,2,19.9745,35.194
46,3,10.3658,51.1818
46,4,8.70733,66.9173
47,0,13,75
47,1,15.7577,37.093
47,2,19.9745,35.194
47,3,10.3658,51.1818
47,4,16.7269,48.7289
48,0,13,75
48,1,15.7577,37.093
48,2,11.8116,39.683
48,3,5.42855,65.2545
48,4,11.2586,74.1106
49,0,13,75
49,1,15.7577,37.093
49,2,11.8116,39.683
49,3,5.42855,65.2545
49,4,1.22303,73.3339
50,0,13,75
50,1,15.7577,37.093
50,2,11.8116,39.683
50,3,5.42855,65.2545
50,4,3.63319,8.09129
51,0,13,75
51,1,15.7577,37.093
51,2,11.8116,39.683
51,3,5.42855,65.2545
51,4,5.59933,105.482
52,0,13,75
52,1,15.7577,37.093
52,2,11.8116,39.683
52,3,15.8906,29.8141
52,4,10.4615,7.70151
53,0,13,75
53,1,15.7577,37.093
53,2,11.8116,39.683
53,3,15.8906,29.8141
53,4,15.3245,27.4694
54,0,13,75
54,1,15.7577,37.093
54,2,11.8116,39.683
54,3,15.8906,29.8141
54,4,18.9839,40.0954
55,0,13,75
55,1,15.7577,37.093
55,2,11.8116,39.683
55,3,15.8906,29.8141
55,4,18.7924,43.99
56,0,13,75
56,1,15.7577,37.093
56,2,11.8116,39.683
56,3,8.89032,36.0589
56,4,8.42389,45.3231
57,0,13,75
57,1,15.7577,37.093
57,2,11.8116,39.683
57,3,8.89032,36.0589
57,4,1.21159,33.0675
58,0,13,75
58,1,15.7577,37.093
58,2,11.8116,39.683
58,3,8.89032,36.0589
58,4,13.6636,45.8157
59,0,13,75
59,1,15.7577,37.093
59,2,11.8116,39.683
59,3,8.89032,36.0589
59,4,12.2622,20.0292
60,0,13,75
60,1,15.7577,37.093
60,2,11.8116,39.683
60,3,17.0368,27.6047
60,4,11.2531,32.7678
61,0,13,75
61,1,15.7577,37.093
61,2,11.8116,39.683
61,3,17.0368,27.6047
61,4,28.8144,30.6773
62,0,13,75
62,1,15.7577,37.093
62,2,11.8116,39.683
62,3,17.0368,27.6047
62,4,18.2067,26.3478
63,0,13,75
63,1,15.7577,37.093
63,2,11.8116,39.683
63,3,17.0368,27.6047
63,4,9.87318,20.6259
64,0,13,75
64,1,18.8796,74.726
64,2,32.7017,190.098
64,3,29.3778,60.3434
64,4,0.93146,50.8773
65,0,13,75
65,1,18.8796,74.726
65,2,32.7017,190.098
65,3,29.3778,60.3434
65,4,46.179,35.9947
66,0,13,75
66,1,18.8796,74.726
66,2,32.7017,190.098
66,3,29.3778,60.3434
66,4,24.5576,37.7954
67,0,13,75
67,1,18.8796,74.726
67,2,32.7017,190.098
67,3,29.3778,60.3434
67,4,45.8433,116.706
68,0,13,75
68,1,18.8796,74.726
68,2,32.7017,190.098
68,3,48.3608,341.675
68,4,47.6202,484.595
69,0,13,75
69,1,18.8796,74.726
69,2,32.7017,190.098
69,3,48.3608,341.675
69,4,35.3385,255.487
70,0,13,75
70,1,18.8796,74.726
70,2,32.7017,190.098
70,3,48.3608,341.675
70,4,11.0004,165.083
71,0,13,75
71,1,18.8796,74.726
71,2,32.7017,190.098
71,3,48.3608,341.675
71,4,99.4842,461.537
72,0,13,75
72,1,18.8796,74.726
72,2,32.7017,190.098
72,3,50.8306,216.68
72,4,7.44426,284.561
73,0,13,75
73,1,18.8796,74.726
73,2,32.7017,190.098
73,3,50.8306,216.68
73,4,32.4365,258.858
74,0,13,75
74,1,18.8796,74.726
74,2,32.7017,190.098
74,3,50.8306,216.68
74,4,128.601,279.694
75,0,13,75
75,1,18.8796,74.726
75,2,32.7017,190.098
75,3,50.8306,216.68
75,4,34.841,43.6072
76,0,13,75
76,1,18.8796,74.726
76,2,32.7017,190.098
76,3,2.23741,141.695
76,4,1.95539,66.4458
77,0,13,75
77,1,18.8796,74.726
77,2,32.7017,190.098
77,3,2.23741,141.695
77,4,2.49991,109.709
78,0,13,75
78,1,18.8796,74.726
78,2,32.7017,190.098
78,3,2.23741,141.695
78,4,2.28258,73.6475
79,0,13,75
79,1,18.8796,74.726
79,2,32.7017,190.098
79,3,2.23741,141.695
79,4,2.21175,316.979
80,0,13,75
80,1,18.8796,74.726
80,2,5.24905,1.47123
80,3,8.27126,1.79497
80,4,11.7751,2.23468
81,0,13,75
81,1,18.8796,74.726
81,2,5.24905,1.47123
81,3,8.27126,1.79497
81,4,1.93344,0.272769
82,0,13,75
82,1,18.8796,74.726
82,2,5.24905,1.47123
82,3,8.27126,1.79497
82,4,18.402,3.4098
83,0,13,75
83,1,18.8796,74.726
83,2,5.24905,1.47123
83,3,8.27126,1.79497
83,4,0.974509,1.26262
84,0,13,75
84,1,18.8796,74.726
84,2,5.24905,1.47123
84,3,6.23343,2.20973
84,4,6.97737,1.43434
85,0,13,75
85,1,18.8796,74.726
85,2,5.24905,1.47123
85,3,6.23343,2.20973
85,4,8.13236,2.76713
86,0,13,75
86,1,18.8796,74.726
86,2,5.24905,1.47123
86,3,6.23343,2.20973
86,4,6.6802,2.17417
87,0,13,75
87,1,18.8796,74.726
87,2,5.24905,1.47123
87,3,6.23343,2.20973
87,4,3.14381,2.46328
88,0,13,75
88,1,18.8796,74.726
88,2,5.24905,1.47123
88,3,5.53387,0.637493
88,4,6.20584,0.85434
89,0,13,75
89,1,18.8796,74.726
89,2,5.24905,1.47123
89,3,5.53387,0.637493
89,4,6.04094,0.415702
90,0,13,75
90,1,18.8796,74.726
90,2,5.24905,1.47123
90,3,5.53387,0.637493
90,4,4.94094,1.21713
91,0,13,75
91,1,18.8796,74.726
91,2,5.24905,1.47123
91,3,5.53387,0.637493
91,4,4.94776,0.0628036
92,0,13,75
92,1,18.8796,74.726
92,2,5.24905,1.47123
92,3,0.957629,1.24272
92,4,1.61904,1.20851
93,0,13,75
93,1,18.8796,74.726
93,2,5.24905,1.47123
93,3,0.957629,1.24272
93,4,0.613542,3.29522
94,0,13,75
94,1,18.8796,74.726
94,2,5.24905,1.47123
94,3,0.957629,1.24272
94,4,0.803417,0.37624
95,0,13,75
95,1,18.8796,74.726
95,2,5.24905,1.47123
95,3,0.957629,1.24272
95,4,0.794516,0.0908997
96,0,13,75
96,1,18.8796,74.726
96,2,7.9445,84.048
96,3,5.83607,92.4048
96,4,12.7118,135.521
97,0,13,75
97,1,18.8796,74.726
97,2,7.9445,84.048
97,3,5.83607,92.4048
97,4,1.69938,178.076
98,0,13,75
98,1,18.8796,74.726
98,2,7.9445,84.048
98,3,5.83607,92.4048
98,4,8.56156,39.1129
99,0,13,75
99,1,18.8796,74.726
99,2,7.9445,84.048
99,3,5.83607,92.4048
99,4,0.371588,16.9087
100,0,13,75
100,1,18.8796,74.726
100,2,7.9445,84.048
100,3,0.459159,88.6004
100,4,0.426126,170.17
101,0,13,75
101,1,18.8796,74.726
101,2,7.9445,84.048
101,3,0.459159,88.6004
101,4,0.636312,14.346
102,0,13,75
102,1,18.8796,74.726
102,2,7.9445,84.048
102,3,0.459159,88.6004
102,4,0.204693,1.84363
103,0,13,75
103,1,18.8796,74.726
103,2,7.9445,84.048
103,3,0.459159,88.6004
103,4,0.569507,168.042
104,0,13,75
104,1,18.8796,74.726
104,2,7.9445,84.048
104,3,12.907,37.0755
104,4,7.98714,9.02085
105,0,13,75
105,1,18.8796,74.726
105,2,7.9445,84.048
105,3,12.907,37.0755
105,4,15.7643,68.2223
106,0,13,75
106,1,18.8796,74.726
106,2,7.9445,84.048
106,3,12.907,37.0755
106,4,13.0732,23.2198
107,0,13,75
107,1,18.8796,74.726
107,2,7.9445,84.048
107,3,12.907,37.0755
107,4,14.8034,47.8388
