L(l),2,K,4,T,7,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,24.3429
1,8.15836
2,12.5044
3,13.5975
4,12.6856
5,13.8627
6,13.4069

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,22.7883,25.2589
0,1,3.40554,33.7088
0,2,15.2358,59.2299
0,3,22.8316,99.0912
0,4,7.32534,70.4413
0,5,9.16165,80.7326
0,6,1.56342,137.199
1,0,22.7883,25.2589
1,1,3.40554,33.7088
1,2,15.2358,59.2299
1,3,22.8316,99.0912
1,4,7.32534,70.4413
1,5,9.16165,80.7326
1,6,8.50874,114.208
2,0,22.7883,25.2589
2,1,3.40554,33.7088
2,2,15.2358,59.2299
2,3,22.8316,99.0912
2,4,7.32534,70.4413
2,5,9.16165,80.7326
2,6,25.7101,83.5389
3,0,22.7883,25.2589
3,1,3.40554,33.7088
3,2,15.2358,59.2299
3,3,22.8316,99.0912
3,4,7.32534,70.4413
3,5,9.16165,80.7326
3,6,8.86402,84.9438
4,0,22.7883,25.2589
4,1,3.40554,33.7088
4,2,15.2358,59.2299
4,3,22.8316,99.0912
4,4,7.32534,70.4413
4,5,7.17654,138.947
4,6,21.5746,127.032
5,0,22.7883,25.2589
5,1,3.40554,33.7088
5,2,15.2358,59.2299
5,3,22.8316,99.0912
5,4,7.32534,70.4413
5,5,7.17654,138.947
5,6,12.6761,3.01096
6,0,22.7883,25.2589
6,1,3.40554,33.7088
6,2,15.2358,59.2299
6,3,22.8316,99.0912
6,4,7.32534,70.4413
6,5,7.17654,138.947
6,6,5.16873,114.316
7,0,22.7883,25.2589
7,1,3.40554,33.7088
7,2,15.2358,59.2299
7,3,22.8316,99.0912
7,4,7.32534,70.4413
7,5,7.17654,138.947
7,6,6.38876,89.3288
8,0,22.7883,25.2589
8,1,3.40554,33.7088
8,2,15.2358,59.2299
8,3,22.8316,99.0912
8,4,7.32534,70.4413
8,5,5.38996,36.1213
8,6,9.13308,135.534
9,0,22.7883,25.2589
9,1,3.40554,33.7088
9,2,15.2358,59.2299
9,3,22.8316,99.0912
9,4,7.32534,70.4413
9,5,5.38996,36.1213
9,6,2.34527,74.1036
10,0,22.7883,25.2589
10,1,3.40554,33.7088
10,2,15.2358,59.2299
10,3,22.8316,99.0912
10,4,7.32534,70.4413
10,5,5.38996,36.1213
10,6,3.02862,15.4081
11,0,22.7883,25.2589
11,1,3.40554,33.7088
11,2,15.2358,59.2299
11,3,22.8316,99.0912
11,4,7.32534,70.4413
11,5,5.38996,36.1213
11,6,11.5103,20.4821
12,0,22.7883,25.2589
12,1,3.40554,33.7088
12,2,15.2358,59.2299
12,3,22.8316,99.0912
12,4,7.32534,70.4413
12,5,16.3741,57.3215
12,6,5.48023,81.9995
13,0,22.7883,25.2589
13,1,3.40554,33.7088
13,2,15.2358,59.2299
13,3,22.8316,99.0912
13,4,7.32534,70.4413
13,5,16.3741,57.3215
13,6,23.3281,47.685
14,0,22.7883,25.2589
14,1,3.40554,33.7088
14,2,15.2358,59.2299
14,3,22.8316,99.0912
14,4,7.32534,70.4413
14,5,16.3741,57.3215
14,6,5.49276,12.8981
15,0,22.7883,25.2589
15,1,3.40554,33.7088
15,2,15.2358,59.2299
15,3,22.8316,99.0912
15,4,7.32534,70.4413
15,5,16.3741,57.3215
15,6,8.50899,40.7088
16,0,22.7883,25.2589
16,1,3.40554,33.7088
16,2,15.2358,59.2299
16,3,22.8316,99.0912
16,4,12.3411,143.336
16,5,5.12908,18.6453
16,6,0.0169052,98.1792
17,0,22.7883,25.2589
17,1,3.40554,33.7088
17,2,15.2358,59.2299
17,3,22.8316,99.0912
17,4,12.3411,143.336
17,5,5.12908,18.6453
17,6,0.852224,148.425
18,0,22.7883,25.2589
18,1,3.40554,33.7088
18,2,15.2358,59.2299
18,3,22.8316,99.0912
18,4,12.3411,143.336
18,5,5.12908,18.6453
18,6,5.4978,56.0552
19,0,22.7883,25.2589
19,1,3.40554,33.7088
19,2,15.2358,59.2299
19,3,22.8316,99.0912
19,4,12.3411,143.336
19,5,5.12908,18.6453
19,6,14.4506,6.18682
20,0,22.7883,25.2589
20,1,3.40554,33.7088
20,2,15.2358,59.2299
20,3,22.8316,99.0912
20,4,12.3411,143.336
20,5,9.40462,88.4639
20,6,5.73507,6.49994
21,0,22.7883,25.2589
21,1,3.40554,33.7088
21,2,15.2358,59.2299
21,3,22.8316,99.0912
21,4,12.3411,143.336
21,5,9.40462,88.4639
21,6,1.59428,62.9065
22,0,22.7883,25.2589
22,1,3.40554,33.7088
22,2,15.2358,59.2299
22,3,22.8316,99.0912
22,4,12.3411,143.336
22,5,9.40462,88.4639
22,6,20.9415,46.056
23,0,22.7883,25.2589
23,1,3.40554,33.7088
23,2,15.2358,59.2299
23,3,22.8316,99.0912
23,4,12.3411,143.336
23,5,9.40462,88.4639
23,6,0.387454,23.5071
24,0,22.7883,25.2589
24,1,3.40554,33.7088
24,2,15.2358,59.2299
24,3,22.8316,99.0912
24,4,12.3411,143.336
24,5,7.34114,46.0765
24,6,5.47569,15.7657
25,0,22.7883,25.2589
25,1,3.40554,33.7088
25,2,15.2358,59.2299
25,3,22.8316,99.0912
25,4,12.3411,143.336
25,5,7.34114,46.0765
25,6,16.9192,49.0633
26,0,22.7883,25.2589
26,1,3.40554,33.7088
26,2,15.2358,59.2299
26,3,22.8316,99.0912
26,4,12.3411,143.336
26,5,7.34114,46.0765
26,6,5.40346,14.0164
27,0,22.7883,25.2589
27,1,3.40554,33.7088
27,2,15.2358,59.2299
27,3,22.8316,99.0912
27,4,12.3411,143.336
27,5,7.34114,46.0765
27,6,12.0545,62.7905
28,0,22.7883,25.2589
28,1,3.40554,33.7088
28,2,15.2358,59.2299
28,3,22.8316,99.0912
28,4,12.3411,143.336
28,5,20.984,59.9968
28,6,16.6428,54.1304
29,0,22.7883,25.2589
29,1,3.40554,33.7088
29,2,15.2358,59.2299
29,3,22.8316,99.0912
29,4,12.3411,143.336
29,5,20.984,59.9968
29,6,19.1491,127.705
30,0,22.7883,25.2589
30,1,3.40554,33.7088
30,2,15.2358,59.2299
30,3,22.8316,99.0912
30,4,12.3411,143.336
30,5,20.984,59.9968
30,6,11.6183,9.56588
31,0,22.7883,25.2589
31,1,3.40554,33.7088
31,2,15.2358,59.2299
31,3,22.8316,99.0912
31,4,12.3411,143.336
31,5,20.984,59.9968
31,6,3.1917,67.126
32,0,22.7883,25.2589
32,1,3.40554,33.7088
32,2,15.2358,59.2299
32,3,22.8316,99.0912
32,4,16.7509,34.9922
32,5,9.25376,66.5989
32,6,18.6758,23.3304
33,0,22.7883,25.2589
33,1,3.40554,33.7088
33,2,15.2358,59.2299
33,3,22.8316,99.0912
33,4,16.7509,34.9922
33,5,9.25376,66.5989
33,6,11.3622,139.463
34,0,22.7883,25.2589
34,1,3.40554,33.7088
34,2,15.2358,59.2299
34,3,22.8316,99.0912
34,4,16.7509,34.9922
34,5,9.25376,66.5989
34,6,13.7602,148.92
35,0,22.7883,25.2589
35,1,3.40554,33.7088
35,2,15.2358,59.2299
35,3,22.8316,99.0912
35,4,16.7509,34.9922
35,5,9.25376,66.5989
35,6,25.246,112.473
36,0,22.7883,25.2589
36,1,3.40554,33.7088
36,2,15.2358,59.2299
36,3,22.8316,99.0912
36,4,16.7509,34.9922
36,5,3.64681,66.7489
36,6,0.939458,4.84775
37,0,22.7883,25.2589
37,1,3.40554,33.7088
37,2,15.2358,59.2299
37,3,22.8316,99.0912
37,4,16.7509,34.9922
37,5,3.64681,66.7489
37,6,4.39905,126.236
38,0,22.7883,25.2589
38,1,3.40554,33.7088
38,2,15.2358,59.2299
38,3,22.8316,99.0912
38,4,16.7509,34.9922
38,5,3.64681,66.7489
38,6,8.82332,27.6144
39,0,22.7883,25.2589
39,1,3.40554,33.7088
39,2,15.2358,59.2299
39,3,22.8316,99.0912
39,4,16.7509,34.9922
39,5,3.64681,66.7489
39,6,25.9555,82.4942
40,0,22.7883,25.2589
40,1,3.40554,33.7088
40,2,15.2358,59.2299
40,3,22.8316,99.0912
40,4,16.7509,34.9922
40,5,8.61005,52.0762
40,6,7.51922,97.354
41,0,22.7883,25.2589
41,1,3.40554,33.7088
41,2,15.2358,59.2299
41,3,22.8316,99.0912
41,4,16.7509,34.9922
41,5,8.61005,52.0762
41,6,22.8033,74.5539
42,0,22.7883,25.2589
42,1,3.40554,33.7088
42,2,15.2358,59.2299
42,3,22.8316,99.0912
42,4,16.7509,34.9922
42,5,8.61005,52.0762
42,6,19.3042,51.1029
43,0,22.7883,25.2589
43,1,3.40554,33.7088
43,2,15.2358,59.2299
43,3,22.8316,99.0912
43,4,16.7509,34.9922
43,5,8.61005,52.0762
43,6,23.8064,57.3863
44,0,22.7883,25.2589
44,1,3.40554,33.7088
44,2,15.2358,59.2299
44,3,22.8316,99.0912
44,4,16.7509,34.9922
44,5,21.2227,113.865
44,6,18.2404,97.8199
45,0,22.7883,25.2589
45,1,3.40554,33.7088
45,2,15.2358,59.2299
45,3,22.8316,99.0912
45,4,16.7509,34.9922
45,5,21.2227,113.865
45,6,6.08248,22.2618
46,0,22.7883,25.2589
46,1,3.40554,33.7088
46,2,15.2358,59.2299
46,3,22.8316,99.0912
46,4,16.7509,34.9922
46,5,21.2227,113.865
46,6,18.6135,53.5049
47,0,22.7883,25.2589
47,1,3.40554,33.7088
47,2,15.2358,59.2299
47,3,22.8316,99.0912
47,4,16.7509,34.9922
47,5,21.2227,113.865
47,6,15.4939,65.1309
48,0,22.7883,25.2589
48,1,3.40554,33.7088
48,2,15.2358,59.2299
48,3,22.8316,99.0912
48,4,13.3685,60.6648
48,5,20.2504,23.4058
48,6,13.3181,4.93895
49,0,22.7883,25.2589
49,1,3.40554,33.7088
49,2,15.2358,59.2299
49,3,22.8316,99.0912
49,4,13.3685,60.6648
49,5,20.2504,23.4058
49,6,9.46297,6.22089
50,0,22.7883,25.2589
50,1,3.40554,33.7088
50,2,15.2358,59.2299
50,3,22.8316,99.0912
50,4,13.3685,60.6648
50,5,20.2504,23.4058
50,6,0.668887,50.244
51,0,22.7883,25.2589
51,1,3.40554,33.7088
51,2,15.2358,59.2299
51,3,22.8316,99.0912
51,4,13.3685,60.6648
51,5,20.2504,23.4058
51,6,20.5735,9.27891
52,0,22.7883,25.2589
52,1,3.40554,33.7088
52,2,15.2358,59.2299
52,3,22.8316,99.0912
52,4,13.3685,60.6648
52,5,15.4981,65.3173
52,6,9.54924,144.073
53,0,22.7883,25.2589
53,1,3.40554,33.7088
53,2,15.2358,59.2299
53,3,22.8316,99.0912
53,4,13.3685,60.6648
53,5,15.4981,65.3173
53,6,23.4893,105.995
54,0,22.7883,25.2589
54,1,3.40554,33.7088
54,2,15.2358,59.2299
54,3,22.8316,99.0912
54,4,13.3685,60.6648
54,5,15.4981,65.3173
54,6,3.75908,135.258
55,0,22.7883,25.2589
55,1,3.40554,33.7088
55,2,15.2358,59.2299
55,3,22.8316,99.0912
55,4,13.3685,60.6648
