L(l),3,K,2,T,11,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,13.9432
1,21.384
2,18.372
3,21.213
4,11.7639
5,14.6033
6,10.7641
7,12.4657
8,13.3986
9,12.0888
10,13.4873

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,14.4476,111.51
0,1,14.4415,33.3811
0,2,21.503,118.34
0,3,25.0289,74.5398
0,4,19.8316,52.4697
0,5,5.5018,138.248
0,6,3.33529,0.23729
0,7,17.8529,86.1407
0,8,11.9289,7.52761
0,9,10.2893,114.426
0,10,5.44819,38.6779
1,0,14.4476,111.51
1,1,14.4415,33.3811
1,2,21.503,118.34
1,3,25.0289,74.5398
1,4,19.8316,52.4697
1,5,5.5018,138.248
1,6,3.33529,0.23729
1,7,17.8529,86.1407
1,8,11.9289,7.52761
1,9,10.2893,114.426
1,10,3.88593,125.973
2,0,14.4476,111.51
2,1,14.4415,33.3811
2,2,21.503,118.34
2,3,25.0289,74.5398
2,4,19.8316,52.4697
2,5,5.5018,138.248
2,6,3.33529,0.23729
2,7,17.8529,86.1407
2,8,11.9289,7.52761
2,9,7.42723,111.018
2,10,22.1452,108.795
3,0,14.4476,111.51
3,1,14.4415,33.3811
3,2,21.503,118.34
3,3,25.0289,74.5398
3,4,19.8316,52.4697
3,5,5.5018,138.248
3,6,3.33529,0.23729
3,7,17.8529,86.1407
3,8,11.9289,7.52761
3,9,7.42723,111.018
3,10,21.8132,62.7146
4,0,14.4476,111.51
4,1,14.4415,33.3811
4,2,21.503,118.34
4,3,25.0289,74.5398
4,4,19.8316,52.4697
4,5,5.5018,138.248
4,6,3.33529,0.23729
4,7,17.8529,86.1407
4,8,5.62308,0.620694
4,9,18.4673,40.7201
4,10,9.75145,101.416
5,0,14.4476,111.51
5,1,14.4415,33.3811
5,2,21.503,118.34
5,3,25.0289,74.5398
5,4,19.8316,52.4697
5,5,5.5018,138.248
5,6,3.33529,0.23729
5,7,17.8529,86.1407
5,8,5.62308,0.620694
5,9,18.4673,40.7201
5,10,18.0576,71.8606
6,0,14.4476,111.51
6,1,14.4415,33.3811
6,2,21.503,118.34
6,3,25.0289,74.5398
6,4,19.8316,52.4697
6,5,5.5018,138.248
6,6,3.33529,0.23729
6,7,17.8529,86.1407
6,8,5.62308,0.620694
6,9,1.94805,87.8925
6,10,5.2594,31.1023
7,0,14.4476,111.51
7,1,14.4415,33.3811
7,2,21.503,118.34
7,3,25.0289,74.5398
7,4,19.8316,52.4697
7,5,5.5018,138.248
7,6,3.33529,0.23729
7,7,17.8529,86.1407
7,8,5.62308,0.620694
7,9,1.94805,87.8925
7,10,2.42992,65.4086
8,0,14.4476,111.51
8,1,14.4415,33.3811
8,2,21.503,118.34
8,3,25.0289,74.5398
8,4,19.8316,52.4697
8,5,5.5018,138.248
8,6,3.33529,0.23729
8,7,0.684051,147.713
8,8,11.759,109.394
8,9,7.14898,142.387
8,10,22.0521,119.019
9,0,14.4476,111.51
9,1,14.4415,33.3811
9,2,21.503,118.34
9,3,25.0289,74.5398
9,4,19.8316,52.4697
9,5,5.5018,138.248
9,6,3.33529,0.23729
9,7,0.684051,147.713
9,8,11.759,109.394
9,9,7.14898,142.387
9,10,14.2711,96.2917
10,0,14.4476,111.51
10,1,14.4415,33.3811
10,2,21.503,118.34
10,3,25.0289,74.5398
10,4,19.8316,52.4697
10,5,5.5018,138.248
10,6,3.33529,0.23729
10,7,0.684051,147.713
10,8,11.759,109.394
10,9,7.85667,33.009
10,10,6.39101,47.3635
11,0,14.4476,111.51
11,1,14.4415,33.3811
11,2,21.503,118.34
11,3,25.0289,74.5398
11,4,19.8316,52.4697
11,5,5.5018,138.248
11,6,3.33529,0.23729
11,7,0.684051,147.713
11,8,11.759,109.394
11,9,7.85667,33.009
11,10,16.8205,84.096
12,0,14.4476,111.51
12,1,14.4415,33.3811
12,2,21.503,118.34
12,3,25.0289,74.5398
12,4,19.8316,52.4697
12,5,5.5018,138.248
12,6,3.33529,0.23729
12,7,0.684051,147.713
12,8,17.2064,68.1031
12,9,0.554084,2.65257
12,10,25.8789,11.5314
13,0,14.4476,111.51
13,1,14.4415,33.3811
13,2,21.503,118.34
