L(l),3,K,2,T,12,No arbitrage?,No arbitrage!

Period,Day Ahead Price
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13
11,13

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,13,75
0,1,25.6281,12.5868
0,2,26.7063,22.1894
0,3,0.953802,4.23061
0,4,0.828225,3.84653
0,5,0.654796,1.43026
0,6,0.708936,2.25404
0,7,0.884361,1.68974
0,8,1.20309,0.31074
0,9,1.45643,0.316994
0,10,1.81271,0.312771
0,11,2.7899,0.356492
1,0,13,75
1,1,25.6281,12.5868
1,2,26.7063,22.1894
1,3,0.953802,4.23061
1,4,0.828225,3.84653
1,5,0.654796,1.43026
1,6,0.708936,2.25404
1,7,0.884361,1.68974
1,8,1.20309,0.31074
1,9,1.45643,0.316994
1,10,1.81271,0.312771
1,11,0.835529,0.26905
2,0,13,75
2,1,25.6281,12.5868
2,2,26.7063,22.1894
2,3,0.953802,4.23061
2,4,0.828225,3.84653
2,5,0.654796,1.43026
2,6,0.708936,2.25404
2,7,0.884361,1.68974
2,8,1.20309,0.31074
2,9,1.45643,0.316994
2,10,1.10015,0.321218
2,11,1.87032,0.409687
3,0,13,75
3,1,25.6281,12.5868
3,2,26.7063,22.1894
3,3,0.953802,4.23061
3,4,0.828225,3.84653
3,5,0.654796,1.43026
3,6,0.708936,2.25404
3,7,0.884361,1.68974
3,8,1.20309,0.31074
3,9,1.45643,0.316994
3,10,1.10015,0.321218
3,11,0.329982,0.232748
4,0,13,75
4,1,25.6281,12.5868
4,2,26.7063,22.1894
4,3,0.953802,4.23061
4,4,0.828225,3.84653
4,5,0.654796,1.43026
4,6,0.708936,2.25404
4,7,0.884361,1.68974
4,8,1.20309,0.31074
4,9,0.949744,0.304487
4,10,0.609225,0.345255
4,11,0.807943,0.0789961
5,0,13,75
5,1,25.6281,12.5868
5,2,26.7063,22.1894
5,3,0.953802,4.23061
5,4,0.828225,3.84653
5,5,0.654796,1.43026
5,6,0.708936,2.25404
5,7,0.884361,1.68974
5,8,1.20309,0.31074
5,9,0.949744,0.304487
5,10,0.609225,0.345255
5,11,0.410507,0.611515
6,0,13,75
6,1,25.6281,12.5868
6,2,26.7063,22.1894
6,3,0.953802,4.23061
6,4,0.828225,3.84653
6,5,0.654796,1.43026
6,6,0.708936,2.25404
6,7,0.884361,1.68974
6,8,1.20309,0.31074
6,9,0.949744,0.304487
6,10,1.29026,0.263718
6,11,2.08634,0.147884
7,0,13,75
7,1,25.6281,12.5868
7,2,26.7063,22.1894
7,3,0.953802,4.23061
7,4,0.828225,3.84653
7,5,0.654796,1.43026
7,6,0.708936,2.25404
7,7,0.884361,1.68974
7,8,1.20309,0.31074
7,9,0.949744,0.304487
7,10,1.29026,0.263718
7,11,0.494187,0.379552
8,0,13,75
8,1,25.6281,12.5868
8,2,26.7063,22.1894
8,3,0.953802,4.23061
8,4,0.828225,3.84653
8,5,0.654796,1.43026
8,6,0.708936,2.25404
8,7,0.884361,1.68974
8,8,0.565632,3.06874
8,9,1.00809,2.89644
8,10,0.154485,1.58859
8,11,0.165984,1.27521
9,0,13,75
9,1,25.6281,12.5868
9,2,26.7063,22.1894
9,3,0.953802,4.23061
9,4,0.828225,3.84653
9,5,0.654796,1.43026
9,6,0.708936,2.25404
9,7,0.884361,1.68974
9,8,0.565632,3.06874
9,9,1.00809,2.89644
9,10,0.154485,1.58859
9,11,0.142987,1.90196
10,0,13,75
10,1,25.6281,12.5868
10,2,26.7063,22.1894
10,3,0.953802,4.23061
10,4,0.828225,3.84653
10,5,0.654796,1.43026
10,6,0.708936,2.25404
10,7,0.884361,1.68974
10,8,0.565632,3.06874
10,9,1.00809,2.89644
10,10,1.86169,4.2043
10,11,0.86754,7.84012
11,0,13,75
11,1,25.6281,12.5868
11,2,26.7063,22.1894
11,3,0.953802,4.23061
11,4,0.828225,3.84653
11,5,0.654796,1.43026
11,6,0.708936,2.25404
11,7,0.884361,1.68974
11,8,0.565632,3.06874
11,9,1.00809,2.89644
11,10,1.86169,4.2043
11,11,2.85584,0.568473
12,0,13,75
12,1,25.6281,12.5868
12,2,26.7063,22.1894
12,3,0.953802,4.23061
12,4,0.828225,3.84653
12,5,0.654796,1.43026
12,6,0.708936,2.25404
12,7,0.884361,1.68974
