L(l),3,K,3,T,8,No arbitrage?,No arbitrage!

Period,Day Ahead Price
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,13,75
0,1,30.1902,41.1062
0,2,43.985,73.9359
0,3,44.9801,139.587
0,4,78.6285,134.288
0,5,109.053,75.2709
0,6,116.479,110.845
0,7,97.9496,74.241
1,0,13,75
1,1,30.1902,41.1062
1,2,43.985,73.9359
1,3,44.9801,139.587
1,4,78.6285,134.288
1,5,109.053,75.2709
1,6,116.479,110.845
1,7,3.54625,89.5979
2,0,13,75
2,1,30.1902,41.1062
2,2,43.985,73.9359
2,3,44.9801,139.587
2,4,78.6285,134.288
2,5,109.053,75.2709
2,6,116.479,110.845
2,7,247.941,168.697
3,0,13,75
3,1,30.1902,41.1062
3,2,43.985,73.9359
3,3,44.9801,139.587
3,4,78.6285,134.288
3,5,109.053,75.2709
3,6,33.6818,19.6042
3,7,9.03669,27.5818
4,0,13,75
4,1,30.1902,41.1062
4,2,43.985,73.9359
4,3,44.9801,139.587
4,4,78.6285,134.288
4,5,109.053,75.2709
4,6,33.6818,19.6042
4,7,38.566,10.1254
5,0,13,75
5,1,30.1902,41.1062
5,2,43.985,73.9359
5,3,44.9801,139.587
5,4,78.6285,134.288
5,5,109.053,75.2709
5,6,33.6818,19.6042
5,7,53.4427,21.1055
6,0,13,75
6,1,30.1902,41.1062
6,2,43.985,73.9359
6,3,44.9801,139.587
6,4,78.6285,134.288
6,5,109.053,75.2709
6,6,176.997,95.363
6,7,211.67,111.741
7,0,13,75
7,1,30.1902,41.1062
7,2,43.985,73.9359
7,3,44.9801,139.587
7,4,78.6285,134.288
7,5,109.053,75.2709
7,6,176.997,95.363
7,7,127.486,54.283
8,0,13,75
8,1,30.1902,41.1062
8,2,43.985,73.9359
8,3,44.9801,139.587
8,4,78.6285,134.288
8,5,109.053,75.2709
8,6,176.997,95.363
8,7,191.834,120.065
9,0,13,75
9,1,30.1902,41.1062
9,2,43.985,73.9359
9,3,44.9801,139.587
9,4,78.6285,134.288
9,5,53.4744,174.773
9,6,23.2757,275.271
9,7,47.1462,86.3898
10,0,13,75
10,1,30.1902,41.1062
10,2,43.985,73.9359
10,3,44.9801,139.587
10,4,78.6285,134.288
10,5,53.4744,174.773
10,6,23.2757,275.271
10,7,6.76784,82.2183
11,0,13,75
11,1,30.1902,41.1062
11,2,43.985,73.9359
11,3,44.9801,139.587
11,4,78.6285,134.288
11,5,53.4744,174.773
11,6,23.2757,275.271
11,7,15.9131,657.204
12,0,13,75
12,1,30.1902,41.1062
12,2,43.985,73.9359
12,3,44.9801,139.587
12,4,78.6285,134.288
12,5,53.4744,174.773
12,6,57.4439,181.439
12,7,10.5998,285.874
13,0,13,75
13,1,30.1902,41.1062
13,2,43.985,73.9359
13,3,44.9801,139.587
13,4,78.6285,134.288
13,5,53.4744,174.773
13,6,57.4439,181.439
13,7,87.058,123.074
14,0,13,75
14,1,30.1902,41.1062
14,2,43.985,73.9359
14,3,44.9801,139.587
14,4,78.6285,134.288
14,5,53.4744,174.773
14,6,57.4439,181.439
14,7,74.6739,135.369
15,0,13,75
15,1,30.1902,41.1062
15,2,43.985,73.9359
15,3,44.9801,139.587
15,4,78.6285,134.288
15,5,53.4744,174.773
15,6,79.7037,67.608
15,7,113.196,72.6877
16,0,13,75
16,1,30.1902,41.1062
16,2,43.985,73.9359
16,3,44.9801,139.587
16,4,78.6285,134.288
16,5,53.4744,174.773
16,6,79.7037,67.608
16,7,98.6935,76.2193
17,0,13,75
17,1,30.1902,41.1062
17,2,43.985,73.9359
17,3,44.9801,139.587
17,4,78.6285,134.288
17,5,53.4744,174.773
17,6,79.7037,67.608
17,7,27.2215,53.9169
18,0,13,75
18,1,30.1902,41.1062
18,2,43.985,73.9359
18,3,44.9801,139.587
18,4,78.6285,134.288
18,5,73.3585,152.82
18,6,108.997,28.9256
18,7,96.6778,18.0801
19,0,13,75
19,1,30.1902,41.1062
19,2,43.985,73.9359
19,3,44.9801,139.587
19,4,78.6285,134.288
19,5,73.3585,152.82
19,6,108.997,28.9256
19,7,151.264,17.8739
20,0,13,75
20,1,30.1902,41.1062
20,2,43.985,73.9359
20,3,44.9801,139.587
20,4,78.6285,134.288
20,5,73.3585,152.82
20,6,108.997,28.9256
20,7,79.0504,50.8228
21,0,13,75
21,1,30.1902,41.1062
21,2,43.985,73.9359
21,3,44.9801,139.587
21,4,78.6285,134.288
21,5,73.3585,152.82
21,6,13.0034,250.063
21,7,14.8254,191.794
22,0,13,75
22,1,30.1902,41.1062
22,2,43.985,73.9359
22,3,44.9801,139.587
22,4,78.6285,134.288
22,5,73.3585,152.82
22,6,13.0034,250.063
22,7,14.9207,60.1723
23,0,13,75
23,1,30.1902,41.1062
23,2,43.985,73.9359
23,3,44.9801,139.587
23,4,78.6285,134.288
23,5,73.3585,152.82
23,6,13.0034,250.063
23,7,9.26418,498.223
24,0,13,75
24,1,30.1902,41.1062
24,2,43.985,73.9359
24,3,44.9801,139.587
24,4,78.6285,134.288
24,5,73.3585,152.82
24,6,98.0749,179.471
24,7,182.682,17.5583
25,0,13,75
25,1,30.1902,41.1062
25,2,43.985,73.9359
25,3,44.9801,139.587
25,4,78.6285,134.288
25,5,73.3585,152.82
25,6,98.0749,179.471
25,7,74.1749,325.001
26,0,13,75
26,1,30.1902,41.1062
26,2,43.985,73.9359
26,3,44.9801,139.587
26,4,78.6285,134.288
26,5,73.3585,152.82
26,6,98.0749,179.471
26,7,37.3678,195.854
27,0,13,75
27,1,30.1902,41.1062
27,2,43.985,73.9359
27,3,44.9801,139.587
27,4,1.19215,52.0808
27,5,1.06909,43.0561
27,6,0.192613,42.3791
