L(l),4,K,2,T,11,No arbitrage?,No arbitrage!

Period,Day Ahead Price
0,13
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
9,13
10,13

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,13,75
0,1,12.6916,19.9434
0,2,21.7845,22.6711
0,3,4.03704,16.2075
0,4,3.13349,15.8398
0,5,1.97614,14.6693
0,6,0.221287,4.9871
0,7,0.169567,6.82525
0,8,0.195965,3.48518
0,9,0.234827,1.40249
0,10,0.281096,1.37071
1,0,13,75
1,1,12.6916,19.9434
1,2,21.7845,22.6711
1,3,4.03704,16.2075
1,4,3.13349,15.8398
1,5,1.97614,14.6693
1,6,0.221287,4.9871
1,7,0.169567,6.82525
1,8,0.195965,3.48518
1,9,0.234827,1.40249
1,10,0.188559,1.43426
2,0,13,75
2,1,12.6916,19.9434
2,2,21.7845,22.6711
2,3,4.03704,16.2075
2,4,3.13349,15.8398
2,5,1.97614,14.6693
2,6,0.221287,4.9871
2,7,0.169567,6.82525
2,8,0.195965,3.48518
2,9,0.157102,5.56786
2,10,0.216791,0.850941
3,0,13,75
3,1,12.6916,19.9434
3,2,21.7845,22.6711
3,3,4.03704,16.2075
3,4,3.13349,15.8398
3,5,1.97614,14.6693
3,6,0.221287,4.9871
3,7,0.169567,6.82525
3,8,0.195965,3.48518
3,9,0.157102,5.56786
3,10,0.0974128,10.2848
4,0,13,75
4,1,12.6916,19.9434
4,2,21.7845,22.6711
4,3,4.03704,16.2075
4,4,3.13349,15.8398
4,5,1.97614,14.6693
4,6,0.221287,4.9871
4,7,0.169567,6.82525
4,8,0.14317,10.1653
4,9,0.115532,13.1163
4,10,0.121437,17.1943
5,0,13,75
5,1,12.6916,19.9434
5,2,21.7845,22.6711
5,3,4.03704,16.2075
5,4,3.13349,15.8398
5,5,1.97614,14.6693
5,6,0.221287,4.9871
5,7,0.169567,6.82525
5,8,0.14317,10.1653
5,9,0.115532,13.1163
5,10,0.109627,9.03833
6,0,13,75
6,1,12.6916,19.9434
6,2,21.7845,22.6711
6,3,4.03704,16.2075
6,4,3.13349,15.8398
6,5,1.97614,14.6693
6,6,0.221287,4.9871
6,7,0.169567,6.82525
6,8,0.14317,10.1653
6,9,0.170808,7.21432
6,10,0.0969594,6.7832
7,0,13,75
7,1,12.6916,19.9434
7,2,21.7845,22.6711
7,3,4.03704,16.2075
7,4,3.13349,15.8398
7,5,1.97614,14.6693
7,6,0.221287,4.9871
7,7,0.169567,6.82525
7,8,0.14317,10.1653
7,9,0.170808,7.21432
7,10,0.244657,7.64544
8,0,13,75
8,1,12.6916,19.9434
8,2,21.7845,22.6711
8,3,4.03704,16.2075
8,4,3.13349,15.8398
8,5,1.97614,14.6693
8,6,0.221287,4.9871
8,7,0.273006,3.14895
8,8,0.293475,0.615788
8,9,0.357074,0.329374
8,10,0.404041,0.301474
9,0,13,75
9,1,12.6916,19.9434
9,2,21.7845,22.6711
9,3,4.03704,16.2075
9,4,3.13349,15.8398
9,5,1.97614,14.6693
9,6,0.221287,4.9871
9,7,0.273006,3.14895
9,8,0.293475,0.615788
9,9,0.357074,0.329374
9,10,0.310107,0.357275
10,0,13,75
10,1,12.6916,19.9434
10,2,21.7845,22.6711
10,3,4.03704,16.2075
10,4,3.13349,15.8398
10,5,1.97614,14.6693
10,6,0.221287,4.9871
10,7,0.273006,3.14895
10,8,0.293475,0.615788
10,9,0.229877,0.902201
10,10,0.0724373,1.10343
11,0,13,75
11,1,12.6916,19.9434
11,2,21.7845,22.6711
11,3,4.03704,16.2075
11,4,3.13349,15.8398
11,5,1.97614,14.6693
11,6,0.221287,4.9871
11,7,0.273006,3.14895
11,8,0.293475,0.615788
11,9,0.229877,0.902201
11,10,0.387317,0.700972
12,0,13,75
12,1,12.6916,19.9434
12,2,21.7845,22.6711
12,3,4.03704,16.2075
12,4,3.13349,15.8398
12,5,1.97614,14.6693
12,6,0.221287,4.9871
12,7,0.273006,3.14895
12,8,0.252536,5.68212
12,9,0.272215,7.53159
12,10,0.376077,8.20206
13,0,13,75
13,1,12.6916,19.9434
13,2,21.7845,22.6711
13,3,4.03704,16.2075
13,4,3.13349,15.8398
13,5,1.97614,14.6693
13,6,0.221287,4.9871
13,7,0.273006,3.14895
13,8,0.252536,5.68212
13,9,0.272215,7.53159
13,10,0.168353,6.86113
14,0,13,75
14,1,12.6916,19.9434
14,2,21.7845,22.6711
14,3,4.03704,16.2075
14,4,3.13349,15.8398
14,5,1.97614,14.6693
14,6,0.221287,4.9871
14,7,0.273006,3.14895
14,8,0.252536,5.68212
14,9,0.232858,3.83265
14,10,0.170515,6.55727
15,0,13,75
15,1,12.6916,19.9434
15,2,21.7845,22.6711
15,3,4.03704,16.2075
15,4,3.13349,15.8398
15,5,1.97614,14.6693
15,6,0.221287,4.9871
15,7,0.273006,3.14895
15,8,0.252536,5.68212
15,9,0.232858,3.83265
15,10,0.295201,1.10802
16,0,13,75
16,1,12.6916,19.9434
16,2,21.7845,22.6711
16,3,4.03704,16.2075
16,4,3.13349,15.8398
16,5,1.97614,14.6693
16,6,3.731,24.3515
16,7,5.31377,27.527
16,8,5.57964,25.7505
16,9,11.0566,15.1121
16,10,5.60542,15.6267
17,0,13,75
17,1,12.6916,19.9434
17,2,21.7845,22.6711
17,3,4.03704,16.2075
17,4,3.13349,15.8398
17,5,1.97614,14.6693
17,6,3.731,24.3515
17,7,5.31377,27.527
17,8,5.57964,25.7505
17,9,11.0566,15.1121
17,10,16.5077,14.5975
18,0,13,75
18,1,12.6916,19.9434
18,2,21.7845,22.6711
18,3,4.03704,16.2075
18,4,3.13349,15.8398
18,5,1.97614,14.6693
18,6,3.731,24.3515
18,7,5.31377,27.527
18,8,5.57964,25.7505
18,9,0.102715,36.3889
18,10,0.180198,41.7686
19,0,13,75
19,1,12.6916,19.9434
19,2,21.7845,22.6711
19,3,4.03704,16.2075
19,4,3.13349,15.8398
19,5,1.97614,14.6693
19,6,3.731,24.3515
19,7,5.31377,27.527
19,8,5.57964,25.7505
19,9,0.102715,36.3889
19,10,0.0252323,31.0092
20,0,13,75
20,1,12.6916,19.9434
20,2,21.7845,22.6711
20,3,4.03704,16.2075
20,4,3.13349,15.8398
20,5,1.97614,14.6693
20,6,3.731,24.3515
20,7,5.31377,27.527
20,8,5.0479,29.3035
20,9,0.662586,30.0948
20,10,1.14785,60.0519
21,0,13,75
21,1,12.6916,19.9434
21,2,21.7845,22.6711
21,3,4.03704,16.2075
21,4,3.13349,15.8398
21,5,1.97614,14.6693
21,6,3.731,24.3515
21,7,5.31377,27.527
21,8,5.0479,29.3035
21,9,0.662586,30.0948
21,10,0.177321,0.137724
22,0,13,75
22,1,12.6916,19.9434
22,2,21.7845,22.6711
22,3,4.03704,16.2075
22,4,3.13349,15.8398
22,5,1.97614,14.6693
22,6,3.731,24.3515
22,7,5.31377,27.527
22,8,5.0479,29.3035
22,9,9.43322,28.5122
22,10,7.31136,50.5306
23,0,13,75
23,1,12.6916,19.9434
23,2,21.7845,22.6711
23,3,4.03704,16.2075
23,4,3.13349,15.8398
23,5,1.97614,14.6693
23,6,3.731,24.3515
23,7,5.31377,27.527
23,8,5.0479,29.3035
23,9,9.43322,28.5122
23,10,11.5551,6.49388
24,0,13,75
24,1,12.6916,19.9434
24,2,21.7845,22.6711
24,3,4.03704,16.2075
24,4,3.13349,15.8398
24,5,1.97614,14.6693
24,6,3.731,24.3515
24,7,2.14823,21.176
24,8,2.63775,19.2084
24,9,3.45437,5.95815
24,10,6.71481,3.89713
25,0,13,75
25,1,12.6916,19.9434
25,2,21.7845,22.6711
25,3,4.03704,16.2075
25,4,3.13349,15.8398
25,5,1.97614,14.6693
25,6,3.731,24.3515
25,7,2.14823,21.176
25,8,2.63775,19.2084
25,9,3.45437,5.95815
25,10,0.193922,8.01918
26,0,13,75
26,1,12.6916,19.9434
26,2,21.7845,22.6711
26,3,4.03704,16.2075
26,4,3.13349,15.8398
26,5,1.97614,14.6693
26,6,3.731,24.3515
26,7,2.14823,21.176
26,8,2.63775,19.2084
26,9,1.82113,32.4586
26,10,1.35568,30.0645
27,0,13,75
27,1,12.6916,19.9434
27,2,21.7845,22.6711
27,3,4.03704,16.2075
27,4,3.13349,15.8398
27,5,1.97614,14.6693
27,6,3.731,24.3515
27,7,2.14823,21.176
27,8,2.63775,19.2084
27,9,1.82113,32.4586
27,10,2.28658,34.8526
28,0,13,75
28,1,12.6916,19.9434
28,2,21.7845,22.6711
28,3,4.03704,16.2075
28,4,3.13349,15.8398
28,5,1.97614,14.6693
28,6,3.731,24.3515
28,7,2.14823,21.176
28,8,1.6587,23.1436
28,9,0.734636,19.8914
28,10,0.700164,22.4672
29,0,13,75
29,1,12.6916,19.9434
29,2,21.7845,22.6711
29,3,4.03704,16.2075
29,4,3.13349,15.8398
29,5,1.97614,14.6693
29,6,3.731,24.3515
29,7,2.14823,21.176
29,8,1.6587,23.1436
29,9,0.734636,19.8914
29,10,0.769108,17.3156
30,0,13,75
30,1,12.6916,19.9434
30,2,21.7845,22.6711
30,3,4.03704,16.2075
30,4,3.13349,15.8398
30,5,1.97614,14.6693
30,6,3.731,24.3515
30,7,2.14823,21.176
30,8,1.6587,23.1436
30,9,2.58277,26.3959
30,10,1.39916,29.6881
31,0,13,75
31,1,12.6916,19.9434
31,2,21.7845,22.6711
31,3,4.03704,16.2075
31,4,3.13349,15.8398
31,5,1.97614,14.6693
31,6,3.731,24.3515
31,7,2.14823,21.176
31,8,1.6587,23.1436
31,9,2.58277,26.3959
31,10,3.76639,23.1037
32,0,13,75
32,1,12.6916,19.9434
32,2,21.7845,22.6711
32,3,4.03704,16.2075
32,4,3.13349,15.8398
32,5,4.29083,17.0102
32,6,4.42144,26.6151
32,7,4.35535,33.8322
32,8,4.30058,60.1027
32,9,5.30164,14.022
32,10,6.56171,3.10127
33,0,13,75
33,1,12.6916,19.9434
33,2,21.7845,22.6711
33,3,4.03704,16.2075
33,4,3.13349,15.8398
33,5,4.29083,17.0102
33,6,4.42144,26.6151
33,7,4.35535,33.8322
33,8,4.30058,60.1027
33,9,5.30164,14.022
33,10,4.04157,24.9427
34,0,13,75
34,1,12.6916,19.9434
34,2,21.7845,22.6711
34,3,4.03704,16.2075
34,4,3.13349,15.8398
34,5,4.29083,17.0102
34,6,4.42144,26.6151
34,7,4.35535,33.8322
34,8,4.30058,60.1027
34,9,3.29952,106.183
34,10,5.95767,77.5282
35,0,13,75
35,1,12.6916,19.9434
35,2,21.7845,22.6711
35,3,4.03704,16.2075
35,4,3.13349,15.8398
35,5,4.29083,17.0102
35,6,4.42144,26.6151
35,7,4.35535,33.8322
35,8,4.30058,60.1027
35,9,3.29952,106.183
35,10,0.64136,134.839
36,0,13,75
36,1,12.6916,19.9434
36,2,21.7845,22.6711
36,3,4.03704,16.2075
36,4,3.13349,15.8398
36,5,4.29083,17.0102
36,6,4.42144,26.6151
