L(l),4,K,2,T,12,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,11.1785
1,2.29393
2,18.9814
3,13.6271
4,13.9711
5,13.4271
6,13.1505
7,13.2502
8,13.348
9,12.8573
10,13.1488
11,14.3596

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,12.2003,75.3343
0,1,1.79684,84.3684
0,2,11.462,78.1126
0,3,24.1841,48.099
0,4,25.9519,134.511
0,5,14.9033,36.3684
0,6,23.2572,55.442
0,7,20.3385,84.7957
0,8,0.351591,5.00574
0,9,17.0624,63.2585
0,10,25.5169,97.5251
0,11,17.5661,138.061
1,0,12.2003,75.3343
1,1,1.79684,84.3684
1,2,11.462,78.1126
1,3,24.1841,48.099
1,4,25.9519,134.511
1,5,14.9033,36.3684
1,6,23.2572,55.442
1,7,20.3385,84.7957
1,8,0.351591,5.00574
1,9,17.0624,63.2585
1,10,25.5169,97.5251
1,11,8.86416,69.8314
2,0,12.2003,75.3343
2,1,1.79684,84.3684
2,2,11.462,78.1126
2,3,24.1841,48.099
2,4,25.9519,134.511
2,5,14.9033,36.3684
2,6,23.2572,55.442
2,7,20.3385,84.7957
2,8,0.351591,5.00574
2,9,17.0624,63.2585
2,10,10.0801,118.547
2,11,21.7762,146.865
3,0,12.2003,75.3343
3,1,1.79684,84.3684
3,2,11.462,78.1126
3,3,24.1841,48.099
3,4,25.9519,134.511
3,5,14.9033,36.3684
3,6,23.2572,55.442
3,7,20.3385,84.7957
3,8,0.351591,5.00574
3,9,17.0624,63.2585
3,10,10.0801,118.547
3,11,8.81475,110.929
4,0,12.2003,75.3343
4,1,1.79684,84.3684
4,2,11.462,78.1126
4,3,24.1841,48.099
4,4,25.9519,134.511
4,5,14.9033,36.3684
4,6,23.2572,55.442
4,7,20.3385,84.7957
4,8,0.351591,5.00574
4,9,0.661223,104.353
4,10,5.78623,90.672
4,11,13.4514,60.3421
5,0,12.2003,75.3343
5,1,1.79684,84.3684
5,2,11.462,78.1126
5,3,24.1841,48.099
5,4,25.9519,134.511
5,5,14.9033,36.3684
5,6,23.2572,55.442
5,7,20.3385,84.7957
5,8,0.351591,5.00574
5,9,0.661223,104.353
5,10,5.78623,90.672
5,11,21.6094,23.7986
6,0,12.2003,75.3343
6,1,1.79684,84.3684
6,2,11.462,78.1126
6,3,24.1841,48.099
6,4,25.9519,134.511
6,5,14.9033,36.3684
6,6,23.2572,55.442
6,7,20.3385,84.7957
6,8,0.351591,5.00574
6,9,0.661223,104.353
6,10,20.606,108.37
6,11,14.6315,101.934
7,0,12.2003,75.3343
7,1,1.79684,84.3684
7,2,11.462,78.1126
7,3,24.1841,48.099
7,4,25.9519,134.511
7,5,14.9033,36.3684
7,6,23.2572,55.442
7,7,20.3385,84.7957
7,8,0.351591,5.00574
7,9,0.661223,104.353
7,10,20.606,108.37
7,11,13.146,3.53129
8,0,12.2003,75.3343
8,1,1.79684,84.3684
8,2,11.462,78.1126
8,3,24.1841,48.099
8,4,25.9519,134.511
8,5,14.9033,36.3684
8,6,23.2572,55.442
8,7,20.3385,84.7957
8,8,4.02056,51.2343
8,9,5.60167,30.5236
8,10,22.2726,145.478
8,11,17.7087,93.8653
9,0,12.2003,75.3343
9,1,1.79684,84.3684
9,2,11.462,78.1126
9,3,24.1841,48.099
9,4,25.9519,134.511
9,5,14.9033,36.3684
9,6,23.2572,55.442
9,7,20.3385,84.7957
9,8,4.02056,51.2343
9,9,5.60167,30.5236
9,10,22.2726,145.478
9,11,12.6181,67.4787
10,0,12.2003,75.3343
10,1,1.79684,84.3684
10,2,11.462,78.1126
10,3,24.1841,48.099
10,4,25.9519,134.511
10,5,14.9033,36.3684
10,6,23.2572,55.442
10,7,20.3385,84.7957
10,8,4.02056,51.2343
10,9,5.60167,30.5236
10,10,9.49337,147.146
10,11,7.45089,20.8988
11,0,12.2003,75.3343
11,1,1.79684,84.3684
11,2,11.462,78.1126
11,3,24.1841,48.099
11,4,25.9519,134.511
11,5,14.9033,36.3684
11,6,23.2572,55.442
11,7,20.3385,84.7957
11,8,4.02056,51.2343
11,9,5.60167,30.5236
11,10,9.49337,147.146
11,11,17.5014,92.9287
12,0,12.2003,75.3343
12,1,1.79684,84.3684
12,2,11.462,78.1126
12,3,24.1841,48.099
12,4,25.9519,134.511
12,5,14.9033,36.3684
12,6,23.2572,55.442
12,7,20.3385,84.7957
12,8,4.02056,51.2343
