L(l),4,K,4,T,6,No arbitrage?,Arbitrage!

Period,Day Ahead Price
0,6.01264
1,10.6284
2,14.8374
3,14.8552
4,13.702
5,13.0672

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,5.47567,22.9554
0,1,2.41888,136.011
0,2,15.6635,131.757
0,3,17.5747,122.508
0,4,19.2657,105.51
0,5,6.94924,43.1626
1,0,5.47567,22.9554
1,1,2.41888,136.011
1,2,15.6635,131.757
1,3,17.5747,122.508
1,4,19.2657,105.51
1,5,21.6708,132.054
2,0,5.47567,22.9554
2,1,2.41888,136.011
2,2,15.6635,131.757
2,3,17.5747,122.508
2,4,19.2657,105.51
2,5,22.6278,54.7
3,0,5.47567,22.9554
3,1,2.41888,136.011
3,2,15.6635,131.757
3,3,17.5747,122.508
3,4,19.2657,105.51
3,5,5.80241,41.4052
4,0,5.47567,22.9554
4,1,2.41888,136.011
4,2,15.6635,131.757
4,3,17.5747,122.508
4,4,2.16464,60.836
4,5,13.1267,25.8142
5,0,5.47567,22.9554
5,1,2.41888,136.011
5,2,15.6635,131.757
5,3,17.5747,122.508
5,4,2.16464,60.836
5,5,4.73469,70.1795
6,0,5.47567,22.9554
6,1,2.41888,136.011
6,2,15.6635,131.757
6,3,17.5747,122.508
6,4,2.16464,60.836
6,5,6.05158,0.272079
7,0,5.47567,22.9554
7,1,2.41888,136.011
7,2,15.6635,131.757
7,3,17.5747,122.508
7,4,2.16464,60.836
7,5,5.62461,125.395
8,0,5.47567,22.9554
8,1,2.41888,136.011
8,2,15.6635,131.757
8,3,17.5747,122.508
8,4,8.94893,12.1456
8,5,6.65844,134.622
9,0,5.47567,22.9554
9,1,2.41888,136.011
9,2,15.6635,131.757
9,3,17.5747,122.508
9,4,8.94893,12.1456
9,5,3.038,56.3222
10,0,5.47567,22.9554
10,1,2.41888,136.011
10,2,15.6635,131.757
10,3,17.5747,122.508
10,4,8.94893,12.1456
10,5,22.1413,142.99
11,0,5.47567,22.9554
11,1,2.41888,136.011
11,2,15.6635,131.757
11,3,17.5747,122.508
11,4,8.94893,12.1456
