L(l),4,K,4,T,7,No arbitrage?,No arbitrage!

Period,Day Ahead Price
0,13
1,13
2,13
3,13
4,13
5,13
6,13

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,13,75
0,1,9.93238,14.2521
0,2,16.2904,11.3138
0,3,21.6368,9.14514
0,4,31.1867,0.661593
0,5,0.219239,0.16071
0,6,0.217411,0.0791135
1,0,13,75
1,1,9.93238,14.2521
1,2,16.2904,11.3138
1,3,21.6368,9.14514
1,4,31.1867,0.661593
1,5,0.219239,0.16071
1,6,0.362356,0.144674
2,0,13,75
2,1,9.93238,14.2521
2,2,16.2904,11.3138
2,3,21.6368,9.14514
2,4,31.1867,0.661593
2,5,0.219239,0.16071
2,6,0.0823091,0.275842
3,0,13,75
3,1,9.93238,14.2521
3,2,16.2904,11.3138
3,3,21.6368,9.14514
3,4,31.1867,0.661593
3,5,0.219239,0.16071
3,6,0.214879,0.14321
4,0,13,75
4,1,9.93238,14.2521
4,2,16.2904,11.3138
4,3,21.6368,9.14514
4,4,31.1867,0.661593
4,5,70.6632,0.945178
4,6,46.2867,1.8876
5,0,13,75
5,1,9.93238,14.2521
5,2,16.2904,11.3138
5,3,21.6368,9.14514
5,4,31.1867,0.661593
5,5,70.6632,0.945178
5,6,130.509,0.664376
6,0,13,75
6,1,9.93238,14.2521
6,2,16.2904,11.3138
6,3,21.6368,9.14514
6,4,31.1867,0.661593
6,5,70.6632,0.945178
6,6,43.1495,0.350384
7,0,13,75
7,1,9.93238,14.2521
7,2,16.2904,11.3138
7,3,21.6368,9.14514
7,4,31.1867,0.661593
7,5,70.6632,0.945178
7,6,62.7079,0.878355
8,0,13,75
8,1,9.93238,14.2521
8,2,16.2904,11.3138
8,3,21.6368,9.14514
8,4,31.1867,0.661593
8,5,40.652,0.517554
8,6,38.222,0.081739
9,0,13,75
9,1,9.93238,14.2521
9,2,16.2904,11.3138
9,3,21.6368,9.14514
9,4,31.1867,0.661593
9,5,40.652,0.517554
9,6,52.7161,0.482488
10,0,13,75
10,1,9.93238,14.2521
10,2,16.2904,11.3138
10,3,21.6368,9.14514
10,4,31.1867,0.661593
10,5,40.652,0.517554
10,6,68.4622,0.188433
11,0,13,75
11,1,9.93238,14.2521
11,2,16.2904,11.3138
11,3,21.6368,9.14514
11,4,31.1867,0.661593
11,5,40.652,0.517554
11,6,3.20767,1.31756
12,0,13,75
12,1,9.93238,14.2521
12,2,16.2904,11.3138
12,3,21.6368,9.14514
12,4,31.1867,0.661593
12,5,13.2125,1.02293
12,6,12.2857,0.912351
13,0,13,75
13,1,9.93238,14.2521
13,2,16.2904,11.3138
13,3,21.6368,9.14514
13,4,31.1867,0.661593
13,5,13.2125,1.02293
13,6,10.3012,1.41391
14,0,13,75
14,1,9.93238,14.2521
14,2,16.2904,11.3138
14,3,21.6368,9.14514
14,4,31.1867,0.661593
14,5,13.2125,1.02293
14,6,20.2757,0.969783
15,0,13,75
15,1,9.93238,14.2521
15,2,16.2904,11.3138
15,3,21.6368,9.14514
15,4,31.1867,0.661593
15,5,13.2125,1.02293
15,6,9.98725,0.795678
16,0,13,75
16,1,9.93238,14.2521
16,2,16.2904,11.3138
16,3,21.6368,9.14514
16,4,1.43211,9.54681
16,5,2.20236,24.5969
16,6,2.95915,11.8473
17,0,13,75
17,1,9.93238,14.2521
17,2,16.2904,11.3138
17,3,21.6368,9.14514
17,4,1.43211,9.54681
17,5,2.20236,24.5969
17,6,3.45477,47.592
18,0,13,75
18,1,9.93238,14.2521
18,2,16.2904,11.3138
18,3,21.6368,9.14514
18,4,1.43211,9.54681
18,5,2.20236,24.5969
18,6,0.695722,18.4618
19,0,13,75
19,1,9.93238,14.2521
19,2,16.2904,11.3138
19,3,21.6368,9.14514
19,4,1.43211,9.54681
19,5,2.20236,24.5969
19,6,1.69978,20.4867
20,0,13,75
20,1,9.93238,14.2521
20,2,16.2904,11.3138
20,3,21.6368,9.14514
20,4,1.43211,9.54681
20,5,1.4876,3.79485
20,6,0.199126,0.794962
21,0,13,75
21,1,9.93238,14.2521
21,2,16.2904,11.3138
21,3,21.6368,9.14514
21,4,1.43211,9.54681
21,5,1.4876,3.79485
21,6,2.58001,2.14939
22,0,13,75
22,1,9.93238,14.2521
22,2,16.2904,11.3138
22,3,21.6368,9.14514
22,4,1.43211,9.54681
22,5,1.4876,3.79485
22,6,0.88266,7.8481
23,0,13,75
23,1,9.93238,14.2521
23,2,16.2904,11.3138
23,3,21.6368,9.14514
23,4,1.43211,9.54681
23,5,1.4876,3.79485
23,6,2.28859,4.38694
24,0,13,75
24,1,9.93238,14.2521
24,2,16.2904,11.3138
24,3,21.6368,9.14514
24,4,1.43211,9.54681
24,5,1.98109,8.70374
24,6,0.0699818,0.203217
25,0,13,75
25,1,9.93238,14.2521
25,2,16.2904,11.3138
25,3,21.6368,9.14514
25,4,1.43211,9.54681
25,5,1.98109,8.70374
25,6,4.88519,9.27996
26,0,13,75
26,1,9.93238,14.2521
26,2,16.2904,11.3138
26,3,21.6368,9.14514
26,4,1.43211,9.54681
26,5,1.98109,8.70374
26,6,0.748256,13.8385
27,0,13,75
27,1,9.93238,14.2521
27,2,16.2904,11.3138
27,3,21.6368,9.14514
27,4,1.43211,9.54681
27,5,1.98109,8.70374
27,6,2.22092,11.4933
28,0,13,75
28,1,9.93238,14.2521
28,2,16.2904,11.3138
28,3,21.6368,9.14514
28,4,1.43211,9.54681
28,5,0.0573962,1.09169
28,6,0.0409493,1.65286
29,0,13,75
29,1,9.93238,14.2521
29,2,16.2904,11.3138
29,3,21.6368,9.14514
29,4,1.43211,9.54681
29,5,0.0573962,1.09169
29,6,0.055443,0.590536
30,0,13,75
30,1,9.93238,14.2521
30,2,16.2904,11.3138
30,3,21.6368,9.14514
30,4,1.43211,9.54681
30,5,0.0573962,1.09169
30,6,0.0458674,1.79228
31,0,13,75
31,1,9.93238,14.2521
31,2,16.2904,11.3138
31,3,21.6368,9.14514
31,4,1.43211,9.54681
31,5,0.0573962,1.09169
31,6,0.0873249,0.331096
32,0,13,75
32,1,9.93238,14.2521
32,2,16.2904,11.3138
32,3,21.6368,9.14514
32,4,22.3478,13.1595
32,5,25.4963,15.6331
32,6,16.4465,24.2515
33,0,13,75
33,1,9.93238,14.2521
33,2,16.2904,11.3138
33,3,21.6368,9.14514
33,4,22.3478,13.1595
33,5,25.4963,15.6331
33,6,12.2927,13.5889
34,0,13,75
34,1,9.93238,14.2521
34,2,16.2904,11.3138
34,3,21.6368,9.14514
34,4,22.3478,13.1595
34,5,25.4963,15.6331
34,6,2.5231,21.7956
35,0,13,75
35,1,9.93238,14.2521
35,2,16.2904,11.3138
35,3,21.6368,9.14514
35,4,22.3478,13.1595
35,5,25.4963,15.6331
35,6,70.723,2.89649
36,0,13,75
36,1,9.93238,14.2521
36,2,16.2904,11.3138
36,3,21.6368,9.14514
36,4,22.3478,13.1595
36,5,1.51597,4.40877
36,6,2.22441,2.86144
37,0,13,75
37,1,9.93238,14.2521
37,2,16.2904,11.3138
37,3,21.6368,9.14514
37,4,22.3478,13.1595
37,5,1.51597,4.40877
37,6,1.10808,6.00474
38,0,13,75
38,1,9.93238,14.2521
38,2,16.2904,11.3138
38,3,21.6368,9.14514
38,4,22.3478,13.1595
38,5,1.51597,4.40877
38,6,1.28204,6.07897
39,0,13,75
