PUBLISHDATE,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12/25/2015,12.115445,11.54468,9.195445,8.988472,9.16341,10.679219,14.289728,20.324263,22.363222,23.371061,23.507416,22.978473,21.662171,21.055205,19.587469,18.975486,21.653992,26.63749,24.417152,23.975085,23.101681,21.810022,17.924465,13.647432
12/13/2015,14.539931,11.151719,8.770809,8.577207,8.652161,10.087311,13.900341,16.313135,19.223259,20.952654,21.505287,20.914186,20.163254,19.376081,18.537684,18.577401,22.518799,31.060778,28.218513,27.365983,26.523571,22.654978,19.27456,14.722831
5/22/2016,13.719613,13.47631,11.590834,10.380716,11.486705,12.016544,12.339129,15.884096,21.13262,21.896379,22.545469,22.346374,22.591006,22.110718,21.497451,22.049305,23.197212,23.673931,23.858841,23.871209,25.600526,24.79009,19.131817,14.778178
2/28/2016,19.638181,18.661017,17.900614,17.558047,19.00065,20.129327,22.509632,23.156155,22.916643,22.844264,20.560439,19.604019,18.428269,17.270849,16.707907,15.706508,17.067738,20.102723,24.836907,23.903041,23.448613,21.377174,19.057636,14.841715
2/3/2016,14.577214,14.129836,13.448345,12.943094,13.90363,16.625374,25.525741,25.863433,24.578394,23.612887,23.068253,22.788374,22.184128,21.451609,20.453557,20.032707,21.007145,26.310031,27.320416,26.491637,25.601757,23.187508,19.463586,15.370909
9/4/2016,13.538032,12.819842,11.54566,8.454242,4.025879,3.992474,3.432011,9.737664,14.489839,18.311279,21.552319,22.716246,23.918612,24.39639,24.521704,24.378894,24.819812,25.053942,24.98668,24.797373,25.013536,23.647079,21.844848,15.462794
9/13/2015,15.062185,13.936724,12.060974,10.606262,8.713798,8.794328,9.55538,12.604106,19.174275,23.599695,25.092032,26.162548,26.740489,26.860851,26.577001,27.250762,27.255681,27.136848,26.89611,29.434482,28.664486,24.809649,22.214559,15.708355
11/26/2015,19.224683,16.814977,16.632164,16.131257,16.546059,18.666869,22.062571,24.152874,24.999658,26.140963,25.921369,24.478046,22.216459,20.327138,17.761959,17.127694,18.997572,24.500558,24.253644,23.542897,23.257467,22.150261,19.864067,15.822486
5/21/2016,14.297832,13.718685,12.775451,11.901499,12.497376,13.479478,14.361724,19.001299,23.72805,24.990434,24.903084,24.888526,24.927119,24.770344,24.44185,24.394897,24.956761,24.856342,24.339187,24.041331,24.818569,24.549934,21.074407,15.908884
12/23/2015,16.439335,14.428848,13.058376,12.698717,14.059336,17.592539,26.373193,28.234116,28.317058,28.225963,27.384305,27.477877,26.414849,25.423509,24.332018,23.885736,27.338807,31.37333,28.395838,27.085205,26.799716,24.30613,20.117306,16.252325
