PUBLISHDATE,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
12/24/2014,20.938834,14.391764,10.233108,11.669486,13.130772,13.683057,3.021311,21.498716,24.585614,25.083742,25.559773,25.310945,25.110854,24.103148,21.17806,20.860717,22.115048,21.396524,16.588182,9.751108,13.54376,19.651928,17.33342,-6.022493
6/1/2015,19.984577,18.789392,16.603456,15.001021,17.749668,22.609257,25.427281,26.055518,34.998345,42.044444,30.253488,30.588522,126.992543,89.570178,69.019495,47.776724,56.784604,27.412784,30.206428,28.467596,27.379125,26.179534,15.989397,-0.140823
11/26/2015,14.549026,14.601222,13.058578,13.731536,15.474354,17.724259,16.48047,17.995633,20.790394,20.723409,20.905975,19.39103,16.357543,-3.993897,11.930928,11.539716,5.291513,12.542958,10.34694,10.689871,13.021983,13.239901,10.527943,6.547077
11/30/2014,27.326087,25.664849,25.330845,24.391034,25.218699,24.759478,24.786792,25.641277,26.212652,26.903042,27.026182,26.694295,26.431735,26.120025,26.611537,26.68839,28.199113,30.604396,30.440341,30.898445,28.674579,25.816149,24.636321,7.472531
9/16/2015,20.008485,21.406137,16.190726,12.152729,16.638852,48.361325,25.691431,23.425616,23.945402,28.409883,26.447261,27.30215,30.350653,64.258312,51.350009,46.345241,54.132722,50.954287,33.928243,53.284937,47.198157,25.557027,23.185897,9.608258
5/13/2016,18.533928,17.093898,14.198094,13.921568,14.370196,19.028939,21.034191,22.909545,23.26605,24.052659,25.687172,24.101044,24.191198,24.391317,24.657158,24.54253,24.484793,23.549199,22.614097,22.329653,29.683184,23.190659,20.231497,9.875505
12/27/2015,15.055746,10.525453,7.680253,7.630057,7.060532,6.501686,8.110167,10.079636,7.503576,10.529215,13.910528,17.618272,16.690882,14.7307,18.119678,17.884219,25.814216,37.192384,23.759755,21.834764,22.509371,20.644606,17.477269,10.391586
3/8/2016,10.714217,8.553048,8.919389,7.323199,9.652773,11.595593,18.848815,21.172889,19.917022,22.757663,21.47668,27.766651,20.500113,19.758557,20.556672,19.087141,20.050506,18.380333,22.12898,22.482181,23.857479,17.323811,12.780586,10.425755
12/25/2014,16.644465,2.575182,-18.676316,-53.969468,-9.815879,-22.430201,-9.363165,2.007459,21.63684,21.974956,19.941987,8.260352,13.99812,14.656673,8.884846,1.337622,13.258833,19.011746,19.711493,20.777738,22.502853,22.350596,19.671393,10.561332
2/28/2016,16.716359,17.544804,17.567536,15.691579,14.10805,16.043951,15.763684,16.569981,15.605256,12.315702,12.216832,10.786305,9.862382,9.316426,7.244604,11.194078,13.569165,13.061718,25.069646,21.432208,17.568015,14.545368,11.644851,10.659546
9/14/2015,6.243632,-15.380632,-1.451248,-2.245068,10.5815,19.440692,30.881268,18.797151,22.803864,48.387368,22.185222,22.880509,19.93696,22.349573,22.75575,24.132938,27.042398,25.762894,25.539367,55.432899,55.966398,22.492301,17.619471,10.802447
6/28/2015,17.30622,19.216787,14.487572,10.976243,8.798863,-1.008975,6.60979,10.681032,14.439338,27.084596,21.599701,22.424451,24.315069,24.94346,23.697475,23.635469,23.637667,24.208716,24.326721,23.703585,23.237023,23.733901,21.502746,10.826241
9/13/2015,19.971716,20.997323,21.4105,13.721895,13.868994,22.687702,15.447799,13.389502,16.229301,19.190385,21.398769,21.644495,25.57889,21.357572,21.275947,21.214415,21.509824,32.293309,22.495782,23.877103,23.368196,20.815129,16.803884,10.890864
6/14/2014,25.287415,22.941036,13.278698,0.004605,7.517075,21.977275,11.249158,25.071062,28.304005,30.366768,30.842123,28.783558,27.488232,28.695077,28.569953,27.192491,27.772271,28.104405,28.091826,27.45314,26.253076,27.33998,19.005596,11.778436
7/3/2016,17.081501,19.345173,17.497754,15.888795,14.670894,5.029413,-12.644028,-9.776792,13.898009,15.652271,17.19842,19.150047,20.146526,20.175135,19.998284,19.572406,17.875977,18.302381,18.552399,17.836304,17.282228,18.281921,17.089949,11.986593
3/7/2016,18.591739,17.321685,17.846485,20.428921,19.395336,25.583718,33.84233,34.822985,21.383842,21.717783,20.285001,20.901145,19.332589,17.76047,16.790563,14.889854,19.823378,18.622691,34.644003,29.465619,21.108201,18.026963,14.260165,11.990232
5/22/2016,16.253716,14.023017,11.453565,10.590857,11.249369,11.27965,8.725476,11.432008,16.474508,15.802015,19.375689,19.805524,19.223815,17.854593,16.731655,19.66812,21.80272,22.838272,21.651543,21.739017,22.757566,21.427748,26.563015,12.276018
2/20/2016,14.023588,17.736445,13.940877,12.546669,13.163266,17.495076,17.650974,16.174418,23.265721,20.325526,19.692393,17.55747,18.149523,15.396198,14.1731,11.499953,11.990811,17.479072,23.47189,19.971624,18.219321,19.425409,15.339211,12.374572
5/20/2016,9.853107,17.389802,13.716295,3.777907,12.70982,17.579555,20.262816,23.60683,30.7991,23.498345,23.366569,23.019958,23.589704,26.48308,31.69233,27.893585,44.532525,21.185936,17.582657,18.317346,27.35582,22.152434,19.746414,12.759008
1/31/2016,17.268289,16.398885,16.172225,15.148702,16.002075,15.96589,17.609615,20.561236,20.65829,18.049909,17.446462,18.514006,18.424818,17.241354,15.781569,15.511859,17.796166,21.391054,22.213894,21.414135,20.612349,17.886132,13.726177,12.812992
3/30/2016,20.162025,19.46238,19.585742,20.194059,21.364748,23.475987,36.716005,26.360522,23.023377,25.717171,31.366182,25.155814,24.13624,22.373765,21.237943,19.417689,18.707075,20.339829,20.86469,22.144717,32.648243,22.229596,17.674471,13.061678
11/12/2015,16.814147,18.115437,17.475296,15.77477,18.019055,21.951727,24.243929,23.978694,23.766436,24.408584,24.602624,25.323299,25.079355,24.791585,25.046606,24.937899,24.844108,30.877145,25.380702,24.91992,25.953484,23.1899,20.976786,13.086152
12/10/2015,14.913275,13.911792,12.482097,11.242752,14.097304,13.896926,28.737913,22.350492,27.493254,22.691515,17.796643,26.422682,24.15276,22.06937,20.999882,20.539902,25.284533,27.894443,28.432752,28.265229,29.484145,21.765823,20.343126,13.155607
9/2/2016,17.586782,18.532469,15.506221,13.140241,13.462789,18.197771,19.324587,19.491836,21.058052,22.943994,22.700685,23.158423,23.268119,23.87409,24.215428,24.242915,24.839254,24.781185,23.218165,22.744065,23.260156,21.801189,19.822069,13.396002
5/24/2015,13.466487,19.343498,-19.672803,-56.944759,6.480035,6.635176,-230.046383,10.766163,16.485629,22.791907,21.909631,23.592049,23.502434,22.466541,21.913711,23.731083,24.190735,24.77786,23.294684,22.421883,20.946838,24.247089,21.977816,13.408992
3/23/2016,14.408855,12.900567,11.85054,11.900296,14.950675,19.384691,26.592701,21.19783,23.361888,22.052004,25.944301,22.210211,23.366689,23.871721,23.041661,21.879335,21.733645,22.33431,23.115446,36.281101,25.120466,22.322035,17.355983,13.42846
10/10/2015,23.712737,24.263663,22.739749,22.876994,22.471272,23.157037,22.585358,23.950462,25.652664,31.45333,26.80215,24.431188,23.664437,23.89995,23.07012,25.734692,23.556201,23.082271,23.515319,25.446033,24.387165,29.871014,19.276529,13.45857
5/18/2016,14.954601,14.260364,11.988444,12.402726,13.950915,19.017697,23.777483,22.54498,21.958935,22.803475,22.767616,21.952062,22.213572,21.565378,21.428797,21.499288,21.823497,22.140643,22.037808,21.246285,21.034921,21.746526,16.760517,13.462607
6/8/2016,15.333482,15.873454,14.264572,11.909679,10.243375,14.662643,18.139204,18.416836,19.930955,21.920066,22.753476,21.89197,22.115984,21.89913,20.056324,19.189703,20.706191,24.372519,22.126216,21.466248,20.006415,21.250951,16.983222,13.599605
6/9/2016,13.776454,13.55299,10.89627,5.196322,1.903098,13.900613,16.364825,18.42214,18.449343,19.516476,19.784753,19.791751,21.630733,22.428068,22.361669,22.584163,24.441116,34.83362,29.076594,26.1669,22.969175,23.258281,20.431602,13.725669
