DATE,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2/9/2015,139.657,127.8,106.632,77.708,80.015,92.766,59.391,29.873,19.442,12.785,7.978,1.219,0.791,1.27,0.259,-3.457,-4.824,-4.771,-4.864,-4.87,-5.086,-5.339,-5.414,-5.638
12/20/2014,273.829,210.026,167.747,127.834,82.224,71.369,101.505,106.196,69.007,20.044,-3.674,4.054,4.373,-2.01,-4.593,-4.826,-5.278,-4.781,-4.586,-4.856,-3.242,-4.382,-4.891,-5.044
9/19/2016,164.31,55.849,25.637,14.008,12.36,16.174,13.975,17.237,26.655,18.986,10.506,6.418,2.146,0.861,-0.469,6.504,5.214,-0.579,-2.979,0.455,-0.077,-2.025,-1.771,-2.06
8/5/2013,238.436,174.659,159.365,110.715,82.101,58.452,39.052,14.626,4.584,2.262,13.289,18.041,12.366,9.526,6.622,10.33,14.604,20.144,30.052,17.095,4.709,-0.906,-3.084,-1.957
2/10/2015,-5.644,-6.103,-6.204,-6.486,-6.633,-6.453,-6.53,-5.937,-6.261,-6.466,-6.485,-5.232,-2.608,-3.822,-1.451,7.525,0.007,0.531,-0.198,0.289,-1.95,-0.965,-0.351,-0.65
3/5/2016,199.566,154.582,78.931,101.089,113.462,86.978,55.557,41.022,17.786,1.852,1.726,1.141,-2.929,-2.405,-5.449,-4.065,-4.271,-3.993,-4.94,-0.743,2.469,2.777,-3.485,-0.095
12/31/2014,506.107,525.251,497.66,498.457,530.303,566.839,636.574,580.266,567.987,614.524,574.173,496.253,465.469,486.753,453.605,403.475,360.085,315.718,409.29,0,0,0,0,0
8/11/2013,29.084,23.409,21.406,13.843,5.305,3.369,-2.756,-1.9,-2.483,-3.224,-1.309,1.676,4.171,8.11,24.564,25.048,19.661,16.128,11.663,14.829,23.892,7.617,-1.02,0.809
8/30/2016,57.691,42.82,42.854,25.158,21.2,21.65,21.205,21.709,10.429,14.197,5.812,-0.369,-2.88,-2.67,-4.347,-2.931,-1.173,0.649,1.668,2.855,9.628,6.343,4.429,1.672
5/29/2014,125.976,105.841,113.665,142.337,213.244,269.807,279.8,252.283,190.013,140.193,91.57,73.657,59.163,74.494,67.82,37.838,45.502,66.967,57.616,30.39,21.731,21.21,7.605,1.727
12/8/2013,30.567,47.078,47.187,38.124,29.032,13.863,11.925,16.565,11.096,23.437,14.512,16.073,24.868,27.958,28.859,51.498,70.593,98.86,135.673,126.588,127.868,90.217,28.47,3.549
9/14/2014,302.476,387.563,392.585,370.476,298.689,284.608,267.549,221.794,145.946,55.69,20.302,12.846,9.585,-1.148,-4.397,-4.016,-2.51,-3.268,-1.683,0.541,1.387,0.004,3.952,4.472
9/1/2015,40.902,35.946,48.859,68.378,64.979,55.012,57.152,63.683,42.39,22.228,24.559,37.585,29.904,24.244,19.354,24.243,25.419,15.309,9.181,6.269,7.524,10.009,7.526,4.659
7/11/2015,62.339,57.281,48.969,47.944,59.843,70.31,88.468,83.588,63.56,47.104,24.055,0.81,-2.039,-2.959,-2.597,-1.088,2.353,3.111,7.048,0.704,-1.186,3.113,7.577,5.082
7/27/2016,63.668,39.348,23.517,19.125,9.026,3.217,1.719,0.462,-2.289,-3.069,2.326,14.743,25.451,34.66,29.263,19.642,12.843,3.428,-0.735,-2.119,-0.513,6.694,6.423,5.54
8/1/2016,42.383,64.303,110.39,121.021,128.502,129.5,93.232,60.616,35.845,38.582,27.12,16.942,11.793,32.692,51.727,82.603,90.291,105.449,98.992,115.727,81.976,46.722,17.636,6.045
7/24/2015,78.263,51.784,42.413,24.664,18.158,19.557,27.54,22.714,7.117,-1.748,-0.46,12.97,15.082,22.624,43.981,82.973,97.77,80.961,61.49,38.792,15.314,13.38,16.511,8.149
7/25/2013,145.44,151.855,132.983,140.269,130.571,105.145,100.494,79.512,42.615,32.463,30.789,14.551,13.362,20.375,23.183,23.67,13.093,13.489,13.334,11.828,26.839,29.894,15.033,8.951
7/30/2013,135.054,124.098,141.718,127.466,137.944,165.557,157.132,82.069,37.372,28.736,38.194,51.396,48.689,39.905,39.449,39.687,34.455,19.541,12.811,2.153,2.397,5.312,4.963,9.573
12/5/2015,245.22,178.219,105.885,70.858,87.026,74.716,79.094,93.806,79.207,55.544,16.921,0.039,-3.64,-4.226,-4.071,-3.646,-3.318,-3.311,-3.54,-3.487,-2.988,1.849,7.948,9.933
9/15/2015,308.038,328.864,295.6,281.153,245.881,266.07,244.821,199.108,151.752,70.509,23.015,9.525,5.615,4.578,2.163,-3.022,-3.51,-3.038,8.276,18.235,18.698,13.366,18.165,10.919
10/30/2014,221.693,222.126,222.134,206.565,172.676,167.936,135.128,107.083,115.2,127.174,150.779,136.184,101.63,93.499,86.073,67.85,59.193,47.619,50.344,50.061,46.814,39.475,36.008,12.283
12/2/2013,152.514,117.802,88.066,59.748,41.715,32.36,37.761,39.56,33.142,27.633,21.216,22.038,23.041,15.882,8.282,7.891,33.076,88.657,91.09,72.291,47.359,29.684,17.587,12.316
10/14/2013,365.226,339.341,245.711,190.268,160.564,66.042,55.533,35.863,16.227,11.645,-2.929,-3.115,-3.098,-4.058,-3.176,-3.203,-2.466,5.203,13.335,18.431,23.564,33.88,17.945,13.247
5/2/2016,205.556,219.583,238.694,198.35,160.827,217.256,345.411,296.67,377.453,420.935,420.163,396.453,391.995,309.715,256.401,228.979,175.417,178.098,173.68,121.028,99.849,63.915,36.675,14.366
