L(l),2,K,2,T,10

Period,Day Ahead Price
0,8.59972
1,14.0224
2,16.6384
3,13.888
4,10.6756
5,11.8763
6,12.9761
7,12.5318
8,13.7651
9,13.5984

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,8.88709,138.082
0,1,11.8084,12.8739
0,2,15.8402,105.516
0,3,12.6744,87.7788
0,4,1.2967,69.8266
0,5,3.95321,141.986
0,6,16.0044,139.815
0,7,15.8463,54.0691
0,8,7.03594,127.432
0,9,0.635647,86.005
1,0,8.88709,138.082
1,1,11.8084,12.8739
1,2,15.8402,105.516
1,3,12.6744,87.7788
1,4,1.2967,69.8266
1,5,3.95321,141.986
1,6,16.0044,139.815
1,7,15.8463,54.0691
1,8,7.03594,127.432
1,9,11.8812,23.6493
2,0,8.88709,138.082
2,1,11.8084,12.8739
2,2,15.8402,105.516
2,3,12.6744,87.7788
2,4,1.2967,69.8266
2,5,3.95321,141.986
2,6,16.0044,139.815
2,7,15.8463,54.0691
2,8,3.87646,128.865
2,9,12.8678,53.9439
3,0,8.88709,138.082
3,1,11.8084,12.8739
3,2,15.8402,105.516
3,3,12.6744,87.7788
3,4,1.2967,69.8266
3,5,3.95321,141.986
3,6,16.0044,139.815
3,7,15.8463,54.0691
3,8,3.87646,128.865
3,9,9.52373,74.9629
4,0,8.88709,138.082
4,1,11.8084,12.8739
4,2,15.8402,105.516
4,3,12.6744,87.7788
4,4,1.2967,69.8266
4,5,3.95321,141.986
4,6,16.0044,139.815
4,7,0.0326689,104.091
4,8,24.9568,126.278
4,9,20.5336,81.4955
5,0,8.88709,138.082
5,1,11.8084,12.8739
5,2,15.8402,105.516
5,3,12.6744,87.7788
5,4,1.2967,69.8266
5,5,3.95321,141.986
5,6,16.0044,139.815
5,7,0.0326689,104.091
5,8,24.9568,126.278
5,9,8.94895,63.0086
6,0,8.88709,138.082
6,1,11.8084,12.8739
6,2,15.8402,105.516
6,3,12.6744,87.7788
6,4,1.2967,69.8266
6,5,3.95321,141.986
6,6,16.0044,139.815
6,7,0.0326689,104.091
6,8,18.9561,112.22
6,9,0.852318,11.3549
7,0,8.88709,138.082
7,1,11.8084,12.8739
7,2,15.8402,105.516
7,3,12.6744,87.7788
7,4,1.2967,69.8266
7,5,3.95321,141.986
7,6,16.0044,139.815
7,7,0.0326689,104.091
7,8,18.9561,112.22
7,9,1.39179,74.4029
8,0,8.88709,138.082
8,1,11.8084,12.8739
8,2,15.8402,105.516
8,3,12.6744,87.7788
8,4,1.2967,69.8266
8,5,3.95321,141.986
8,6,21.0585,22.0004
8,7,19.4672,80.2717
8,8,22.4318,47.1147
8,9,12.36,125.152
9,0,8.88709,138.082
9,1,11.8084,12.8739
9,2,15.8402,105.516
9,3,12.6744,87.7788
9,4,1.2967,69.8266
9,5,3.95321,141.986
9,6,21.0585,22.0004
9,7,19.4672,80.2717
9,8,22.4318,47.1147
9,9,1.19156,60.9471
10,0,8.88709,138.082
10,1,11.8084,12.8739
10,2,15.8402,105.516
10,3,12.6744,87.7788
10,4,1.2967,69.8266
10,5,3.95321,141.986
10,6,21.0585,22.0004
10,7,19.4672,80.2717
10,8,11.8783,8.14576
10,9,4.00849,18.8761
11,0,8.88709,138.082
11,1,11.8084,12.8739
11,2,15.8402,105.516
11,3,12.6744,87.7788
11,4,1.2967,69.8266
