L(l),2,K,4,T,7

Period,Day Ahead Price
0,9.51728
1,12.6422
2,12.1211
3,12.7597
4,13.0839
5,11.9026
6,14.1018

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,10.4667,144.838
0,1,22.3113,4.86343
0,2,17.178,76.6541
0,3,7.04887,88.3333
0,4,1.6467,88.5676
0,5,10.6909,40.2694
0,6,24.1815,123.269
1,0,10.4667,144.838
1,1,22.3113,4.86343
1,2,17.178,76.6541
1,3,7.04887,88.3333
1,4,1.6467,88.5676
1,5,10.6909,40.2694
1,6,11.4558,54.1657
2,0,10.4667,144.838
2,1,22.3113,4.86343
2,2,17.178,76.6541
2,3,7.04887,88.3333
2,4,1.6467,88.5676
2,5,10.6909,40.2694
2,6,15.9563,88.6732
3,0,10.4667,144.838
3,1,22.3113,4.86343
3,2,17.178,76.6541
3,3,7.04887,88.3333
3,4,1.6467,88.5676
3,5,10.6909,40.2694
3,6,0.777633,88.0679
4,0,10.4667,144.838
4,1,22.3113,4.86343
4,2,17.178,76.6541
4,3,7.04887,88.3333
4,4,1.6467,88.5676
4,5,20.3922,141.433
4,6,10.7889,21.2897
5,0,10.4667,144.838
5,1,22.3113,4.86343
5,2,17.178,76.6541
5,3,7.04887,88.3333
5,4,1.6467,88.5676
5,5,20.3922,141.433
5,6,10.1688,104.594
6,0,10.4667,144.838
6,1,22.3113,4.86343
6,2,17.178,76.6541
6,3,7.04887,88.3333
6,4,1.6467,88.5676
6,5,20.3922,141.433
6,6,18.6245,22.2998
7,0,10.4667,144.838
7,1,22.3113,4.86343
7,2,17.178,76.6541
7,3,7.04887,88.3333
7,4,1.6467,88.5676
7,5,20.3922,141.433
7,6,18.958,80.3103
8,0,10.4667,144.838
8,1,22.3113,4.86343
8,2,17.178,76.6541
8,3,7.04887,88.3333
8,4,1.6467,88.5676
8,5,6.7429,66.1221
8,6,8.56268,78.5335
9,0,10.4667,144.838
9,1,22.3113,4.86343
9,2,17.178,76.6541
9,3,7.04887,88.3333
9,4,1.6467,88.5676
9,5,6.7429,66.1221
9,6,9.5807,68.273
10,0,10.4667,144.838
10,1,22.3113,4.86343
10,2,17.178,76.6541
10,3,7.04887,88.3333
10,4,1.6467,88.5676
10,5,6.7429,66.1221
10,6,7.3262,143.648
11,0,10.4667,144.838
11,1,22.3113,4.86343
11,2,17.178,76.6541
11,3,7.04887,88.3333
11,4,1.6467,88.5676
11,5,6.7429,66.1221
11,6,3.68704,13.9952
12,0,10.4667,144.838
12,1,22.3113,4.86343
12,2,17.178,76.6541
12,3,7.04887,88.3333
12,4,1.6467,88.5676
12,5,9.8348,20.4686
12,6,3.84175,58.5803
13,0,10.4667,144.838
13,1,22.3113,4.86343
13,2,17.178,76.6541
13,3,7.04887,88.3333
13,4,1.6467,88.5676
13,5,9.8348,20.4686
13,6,18.2362,120.921
14,0,10.4667,144.838
14,1,22.3113,4.86343
14,2,17.178,76.6541
14,3,7.04887,88.3333
14,4,1.6467,88.5676
14,5,9.8348,20.4686
14,6,1.13496,23.0522
15,0,10.4667,144.838
15,1,22.3113,4.86343
15,2,17.178,76.6541
15,3,7.04887,88.3333
15,4,1.6467,88.5676
15,5,9.8348,20.4686
15,6,2.58221,146.056
16,0,10.4667,144.838
16,1,22.3113,4.86343
16,2,17.178,76.6541
16,3,7.04887,88.3333
16,4,2.24155,11.4098
16,5,15.5383,40.3323
16,6,25.3624,80.9883
17,0,10.4667,144.838
17,1,22.3113,4.86343
17,2,17.178,76.6541
17,3,7.04887,88.3333
17,4,2.24155,11.4098
17,5,15.5383,40.3323
17,6,8.70517,88.377
18,0,10.4667,144.838
18,1,22.3113,4.86343
18,2,17.178,76.6541
18,3,7.04887,88.3333
18,4,2.24155,11.4098
18,5,15.5383,40.3323
18,6,3.408,54.7085
19,0,10.4667,144.838
19,1,22.3113,4.86343
19,2,17.178,76.6541
19,3,7.04887,88.3333
19,4,2.24155,11.4098
19,5,15.5383,40.3323
19,6,4.58379,81.905
20,0,10.4667,144.838
20,1,22.3113,4.86343
20,2,17.178,76.6541
20,3,7.04887,88.3333
20,4,2.24155,11.4098
20,5,25.1694,83.2644
20,6,13.173,85.1109
21,0,10.4667,144.838
21,1,22.3113,4.86343
21,2,17.178,76.6541
21,3,7.04887,88.3333
21,4,2.24155,11.4098
21,5,25.1694,83.2644
21,6,6.32653,33.447
22,0,10.4667,144.838
22,1,22.3113,4.86343
22,2,17.178,76.6541
22,3,7.04887,88.3333
22,4,2.24155,11.4098
22,5,25.1694,83.2644
22,6,18.6178,145.872
23,0,10.4667,144.838
23,1,22.3113,4.86343
23,2,17.178,76.6541
23,3,7.04887,88.3333
23,4,2.24155,11.4098
23,5,25.1694,83.2644
23,6,19.7179,6.81073
24,0,10.4667,144.838
24,1,22.3113,4.86343
24,2,17.178,76.6541
24,3,7.04887,88.3333
24,4,2.24155,11.4098
24,5,15.0581,62.1078
24,6,12.897,19.0305
25,0,10.4667,144.838
25,1,22.3113,4.86343
25,2,17.178,76.6541
25,3,7.04887,88.3333
25,4,2.24155,11.4098
25,5,15.0581,62.1078
25,6,13.0145,116.672
26,0,10.4667,144.838
26,1,22.3113,4.86343
26,2,17.178,76.6541
26,3,7.04887,88.3333
26,4,2.24155,11.4098
26,5,15.0581,62.1078
26,6,2.19767,96.355
27,0,10.4667,144.838
27,1,22.3113,4.86343
27,2,17.178,76.6541
27,3,7.04887,88.3333
27,4,2.24155,11.4098
27,5,15.0581,62.1078
27,6,22.649,34.8428
28,0,10.4667,144.838
28,1,22.3113,4.86343
