L(l),3,K,2,T,11

Period,Day Ahead Price
0,6.491
1,16.7492
2,13.7359
3,12.6761
4,10.3591
5,15.1211
6,13.3201
7,13.7199
8,12.6472
9,11.9583
10,13.5699

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,6.48639,100.93
0,1,24.9082,137.765
0,2,18.564,138.98
0,3,11.3346,133.778
0,4,19.2035,146.736
0,5,7.58444,67.2484
0,6,16.5318,108.063
0,7,21.4824,49.3478
0,8,0.17951,135.333
0,9,4.56841,129.183
0,10,19.6063,18.1996
1,0,6.48639,100.93
1,1,24.9082,137.765
1,2,18.564,138.98
1,3,11.3346,133.778
1,4,19.2035,146.736
1,5,7.58444,67.2484
1,6,16.5318,108.063
1,7,21.4824,49.3478
1,8,0.17951,135.333
1,9,4.56841,129.183
1,10,13.8537,66.1121
2,0,6.48639,100.93
2,1,24.9082,137.765
2,2,18.564,138.98
2,3,11.3346,133.778
2,4,19.2035,146.736
2,5,7.58444,67.2484
2,6,16.5318,108.063
2,7,21.4824,49.3478
2,8,0.17951,135.333
2,9,21.868,96.7751
2,10,7.75518,42.4124
3,0,6.48639,100.93
3,1,24.9082,137.765
3,2,18.564,138.98
3,3,11.3346,133.778
3,4,19.2035,146.736
3,5,7.58444,67.2484
3,6,16.5318,108.063
3,7,21.4824,49.3478
3,8,0.17951,135.333
3,9,21.868,96.7751
3,10,18.9964,65.1137
4,0,6.48639,100.93
4,1,24.9082,137.765
4,2,18.564,138.98
4,3,11.3346,133.778
4,4,19.2035,146.736
4,5,7.58444,67.2484
4,6,16.5318,108.063
4,7,21.4824,49.3478
4,8,22.6495,91.3937
4,9,24.297,131.399
4,10,19.002,45.4385
5,0,6.48639,100.93
5,1,24.9082,137.765
5,2,18.564,138.98
5,3,11.3346,133.778
5,4,19.2035,146.736
5,5,7.58444,67.2484
5,6,16.5318,108.063
5,7,21.4824,49.3478
5,8,22.6495,91.3937
5,9,24.297,131.399
5,10,18.1274,122.834
6,0,6.48639,100.93
6,1,24.9082,137.765
6,2,18.564,138.98
6,3,11.3346,133.778
6,4,19.2035,146.736
6,5,7.58444,67.2484
6,6,16.5318,108.063
6,7,21.4824,49.3478
6,8,22.6495,91.3937
6,9,24.2663,138.592
6,10,21.414,104.928
7,0,6.48639,100.93
7,1,24.9082,137.765
7,2,18.564,138.98
7,3,11.3346,133.778
7,4,19.2035,146.736
7,5,7.58444,67.2484
7,6,16.5318,108.063
7,7,21.4824,49.3478
7,8,22.6495,91.3937
7,9,24.2663,138.592
7,10,20.4543,44.081
8,0,6.48639,100.93
8,1,24.9082,137.765
8,2,18.564,138.98
8,3,11.3346,133.778
8,4,19.2035,146.736
8,5,7.58444,67.2484
8,6,16.5318,108.063
8,7,22.7038,93.75
8,8,20.7305,147.071
8,9,20.765,25.3654
8,10,21.7245,141.577
9,0,6.48639,100.93
9,1,24.9082,137.765
9,2,18.564,138.98
9,3,11.3346,133.778
9,4,19.2035,146.736
9,5,7.58444,67.2484
9,6,16.5318,108.063
9,7,22.7038,93.75
9,8,20.7305,147.071
9,9,20.765,25.3654
9,10,4.26536,128.299
10,0,6.48639,100.93
10,1,24.9082,137.765
10,2,18.564,138.98
10,3,11.3346,133.778
10,4,19.2035,146.736
10,5,7.58444,67.2484
10,6,16.5318,108.063
10,7,22.7038,93.75
10,8,20.7305,147.071
10,9,12.3453,75.2735
10,10,14.7685,73.0682
11,0,6.48639,100.93
11,1,24.9082,137.765
11,2,18.564,138.98
11,3,11.3346,133.778
11,4,19.2035,146.736
11,5,7.58444,67.2484
11,6,16.5318,108.063
11,7,22.7038,93.75
11,8,20.7305,147.071
11,9,12.3453,75.2735
11,10,2.2539,45.7226
12,0,6.48639,100.93
12,1,24.9082,137.765
12,2,18.564,138.98
12,3,11.3346,133.778
12,4,19.2035,146.736
12,5,7.58444,67.2484
12,6,16.5318,108.063
12,7,22.7038,93.75
12,8,1.89073,118.337
12,9,6.52106,23.7868
12,10,17.208,131.821
13,0,6.48639,100.93
13,1,24.9082,137.765
13,2,18.564,138.98
13,3,11.3346,133.778
13,4,19.2035,146.736
13,5,7.58444,67.2484
13,6,16.5318,108.063
13,7,22.7038,93.75
13,8,1.89073,118.337
13,9,6.52106,23.7868
13,10,9.71623,143.718
14,0,6.48639,100.93
14,1,24.9082,137.765
14,2,18.564,138.98
14,3,11.3346,133.778
14,4,19.2035,146.736
14,5,7.58444,67.2484
14,6,16.5318,108.063
14,7,22.7038,93.75
14,8,1.89073,118.337
14,9,22.6523,127.78
14,10,25.3705,90.6096
15,0,6.48639,100.93
15,1,24.9082,137.765
15,2,18.564,138.98
15,3,11.3346,133.778
15,4,19.2035,146.736
15,5,7.58444,67.2484
15,6,16.5318,108.063
15,7,22.7038,93.75
15,8,1.89073,118.337
15,9,22.6523,127.78
15,10,25.4883,109.482
16,0,6.48639,100.93
16,1,24.9082,137.765
16,2,18.564,138.98
16,3,11.3346,133.778
16,4,19.2035,146.736
16,5,7.58444,67.2484
16,6,13.8702,134.066
16,7,10.1422,45.6364
16,8,22.6291,145.043
16,9,3.21908,111.133
16,10,18.8603,76.9734
17,0,6.48639,100.93
17,1,24.9082,137.765
17,2,18.564,138.98
17,3,11.3346,133.778
17,4,19.2035,146.736
17,5,7.58444,67.2484
17,6,13.8702,134.066
17,7,10.1422,45.6364
17,8,22.6291,145.043
17,9,3.21908,111.133
17,10,4.43625,3.55059
18,0,6.48639,100.93
18,1,24.9082,137.765
18,2,18.564,138.98
18,3,11.3346,133.778
18,4,19.2035,146.736
18,5,7.58444,67.2484
18,6,13.8702,134.066
18,7,10.1422,45.6364
18,8,22.6291,145.043
18,9,17.203,43.8993
18,10,20.6935,135.188
19,0,6.48639,100.93
19,1,24.9082,137.765
19,2,18.564,138.98
19,3,11.3346,133.778
19,4,19.2035,146.736
19,5,7.58444,67.2484
19,6,13.8702,134.066
19,7,10.1422,45.6364
19,8,22.6291,145.043
19,9,17.203,43.8993
19,10,11.9018,79.0126
20,0,6.48639,100.93
20,1,24.9082,137.765
20,2,18.564,138.98
20,3,11.3346,133.778
20,4,19.2035,146.736
20,5,7.58444,67.2484
20,6,13.8702,134.066
20,7,10.1422,45.6364
20,8,4.2924,78.986
20,9,15.2566,82.6125
20,10,5.30864,23.2453
21,0,6.48639,100.93
21,1,24.9082,137.765
21,2,18.564,138.98
21,3,11.3346,133.778
21,4,19.2035,146.736
21,5,7.58444,67.2484
21,6,13.8702,134.066
21,7,10.1422,45.6364
21,8,4.2924,78.986
21,9,15.2566,82.6125
21,10,8.98669,4.16909
22,0,6.48639,100.93
22,1,24.9082,137.765
22,2,18.564,138.98
22,3,11.3346,133.778
22,4,19.2035,146.736
22,5,7.58444,67.2484
22,6,13.8702,134.066
22,7,10.1422,45.6364
22,8,4.2924,78.986
22,9,17.3457,51.0619
22,10,22.2168,19.8517
23,0,6.48639,100.93
23,1,24.9082,137.765
23,2,18.564,138.98
23,3,11.3346,133.778
23,4,19.2035,146.736
23,5,7.58444,67.2484
23,6,13.8702,134.066
23,7,10.1422,45.6364
23,8,4.2924,78.986
23,9,17.3457,51.0619
23,10,8.36334,103.507
24,0,6.48639,100.93
24,1,24.9082,137.765
24,2,18.564,138.98
24,3,11.3346,133.778
24,4,19.2035,146.736
24,5,7.58444,67.2484
24,6,13.8702,134.066
24,7,23.6724,90.0918
24,8,2.20237,96.1359
24,9,5.9339,149.261
24,10,1.98094,72.8579
25,0,6.48639,100.93
25,1,24.9082,137.765
25,2,18.564,138.98
25,3,11.3346,133.778
25,4,19.2035,146.736
25,5,7.58444,67.2484
25,6,13.8702,134.066
25,7,23.6724,90.0918
25,8,2.20237,96.1359
25,9,5.9339,149.261
25,10,14.1798,96.6316
26,0,6.48639,100.93
26,1,24.9082,137.765
26,2,18.564,138.98
26,3,11.3346,133.778
26,4,19.2035,146.736
26,5,7.58444,67.2484
26,6,13.8702,134.066
26,7,23.6724,90.0918
26,8,2.20237,96.1359
26,9,9.67648,126.808
26,10,25.2939,94.8099
27,0,6.48639,100.93
27,1,24.9082,137.765
27,2,18.564,138.98
27,3,11.3346,133.778
27,4,19.2035,146.736
27,5,7.58444,67.2484
27,6,13.8702,134.066
27,7,23.6724,90.0918
27,8,2.20237,96.1359
27,9,9.67648,126.808
27,10,24.6747,95.2029
28,0,6.48639,100.93
28,1,24.9082,137.765
28,2,18.564,138.98
28,3,11.3346,133.778
28,4,19.2035,146.736
28,5,7.58444,67.2484
28,6,13.8702,134.066
28,7,23.6724,90.0918
28,8,25.5165,4.04882
28,9,13.432,101.616
28,10,13.2827,48.4093
29,0,6.48639,100.93
29,1,24.9082,137.765
29,2,18.564,138.98
29,3,11.3346,133.778
29,4,19.2035,146.736
29,5,7.58444,67.2484
29,6,13.8702,134.066
29,7,23.6724,90.0918
29,8,25.5165,4.04882
29,9,13.432,101.616
29,10,15.4129,72.9997
30,0,6.48639,100.93
30,1,24.9082,137.765
30,2,18.564,138.98
30,3,11.3346,133.778
30,4,19.2035,146.736
30,5,7.58444,67.2484
30,6,13.8702,134.066
30,7,23.6724,90.0918
30,8,25.5165,4.04882
30,9,25.1229,103.848
30,10,24.0966,85.9688
31,0,6.48639,100.93
31,1,24.9082,137.765
31,2,18.564,138.98
31,3,11.3346,133.778
31,4,19.2035,146.736
31,5,7.58444,67.2484
31,6,13.8702,134.066
31,7,23.6724,90.0918
31,8,25.5165,4.04882
31,9,25.1229,103.848
31,10,5.63011,97.828
32,0,6.48639,100.93
32,1,24.9082,137.765
32,2,18.564,138.98
32,3,11.3346,133.778
32,4,19.2035,146.736
32,5,24.9306,28.2579
32,6,18.7901,125.499
32,7,24.3429,95.8785
32,8,4.69679,72.3042
32,9,14.0051,121.101
32,10,2.24331,58.0752
33,0,6.48639,100.93
33,1,24.9082,137.765
33,2,18.564,138.98
33,3,11.3346,133.778
33,4,19.2035,146.736
33,5,24.9306,28.2579
33,6,18.7901,125.499
33,7,24.3429,95.8785
33,8,4.69679,72.3042
33,9,14.0051,121.101
33,10,17.5723,132.328
34,0,6.48639,100.93
34,1,24.9082,137.765
34,2,18.564,138.98
34,3,11.3346,133.778
34,4,19.2035,146.736
34,5,24.9306,28.2579
34,6,18.7901,125.499
34,7,24.3429,95.8785
34,8,4.69679,72.3042
34,9,8.77476,70.9738
