L(l),3,K,4,T,5

Period,Day Ahead Price
0,9.29221
1,13.9284
2,12.8458
3,14.5731
4,13.4189

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,9.50368,101.105
0,1,11.3899,106.55
0,2,16.3858,52.4575
0,3,0.526519,123.374
0,4,12.1091,135.467
1,0,9.50368,101.105
1,1,11.3899,106.55
1,2,16.3858,52.4575
1,3,0.526519,123.374
1,4,3.33175,45.0682
2,0,9.50368,101.105
2,1,11.3899,106.55
2,2,16.3858,52.4575
2,3,0.526519,123.374
2,4,0.316191,53.9417
3,0,9.50368,101.105
3,1,11.3899,106.55
3,2,16.3858,52.4575
3,3,0.526519,123.374
3,4,6.75655,79.8717
4,0,9.50368,101.105
4,1,11.3899,106.55
4,2,16.3858,52.4575
4,3,12.8381,40.82
4,4,12.104,13.8432
5,0,9.50368,101.105
5,1,11.3899,106.55
5,2,16.3858,52.4575
5,3,12.8381,40.82
5,4,0.975158,94.7922
6,0,9.50368,101.105
6,1,11.3899,106.55
6,2,16.3858,52.4575
6,3,12.8381,40.82
6,4,19.4972,63.5771
7,0,9.50368,101.105
7,1,11.3899,106.55
7,2,16.3858,52.4575
7,3,12.8381,40.82
7,4,14.9355,54.7713
8,0,9.50368,101.105
8,1,11.3899,106.55
8,2,16.3858,52.4575
8,3,1.49589,47.4719
8,4,24.4454,4.94995
9,0,9.50368,101.105
9,1,11.3899,106.55
9,2,16.3858,52.4575
9,3,1.49589,47.4719
9,4,17.2983,139.001
10,0,9.50368,101.105
10,1,11.3899,106.55
10,2,16.3858,52.4575
10,3,1.49589,47.4719
10,4,2.94907,78.5753
11,0,9.50368,101.105
11,1,11.3899,106.55
11,2,16.3858,52.4575
11,3,1.49589,47.4719
11,4,12.3627,64.9368
12,0,9.50368,101.105
12,1,11.3899,106.55
12,2,16.3858,52.4575
12,3,17.6156,70.0442
12,4,16.4005,106.769
13,0,9.50368,101.105
13,1,11.3899,106.55
13,2,16.3858,52.4575
13,3,17.6156,70.0442
13,4,23.2914,76.9796
14,0,9.50368,101.105
14,1,11.3899,106.55
14,2,16.3858,52.4575
14,3,17.6156,70.0442
14,4,16.0186,28.1202
15,0,9.50368,101.105
15,1,11.3899,106.55
15,2,16.3858,52.4575
15,3,17.6156,70.0442
15,4,20.9857,12.2751
16,0,9.50368,101.105
16,1,11.3899,106.55
16,2,14.0863,107.698
16,3,16.0528,28.2027
16,4,2.35516,140.293
17,0,9.50368,101.105
17,1,11.3899,106.55
17,2,14.0863,107.698
17,3,16.0528,28.2027
17,4,9.93951,15.4116
18,0,9.50368,101.105
18,1,11.3899,106.55
18,2,14.0863,107.698
18,3,16.0528,28.2027
18,4,7.66732,96.3234
19,0,9.50368,101.105
19,1,11.3899,106.55
19,2,14.0863,107.698
19,3,16.0528,28.2027
19,4,16.5158,114.065
20,0,9.50368,101.105
20,1,11.3899,106.55
20,2,14.0863,107.698
20,3,12.2595,29.8281
20,4,19.0956,100.909
21,0,9.50368,101.105
21,1,11.3899,106.55
21,2,14.0863,107.698
21,3,12.2595,29.8281
21,4,10.202,72.6503
22,0,9.50368,101.105
22,1,11.3899,106.55
22,2,14.0863,107.698
22,3,12.2595,29.8281
22,4,2.51097,145.024
23,0,9.50368,101.105
23,1,11.3899,106.55
23,2,14.0863,107.698
23,3,12.2595,29.8281
23,4,22.0864,5.51748
24,0,9.50368,101.105
24,1,11.3899,106.55
24,2,14.0863,107.698
24,3,13.0674,134.539
24,4,25.9955,77.2192
25,0,9.50368,101.105
25,1,11.3899,106.55
25,2,14.0863,107.698
