L(l),4,K,2,T,12

Period,Day Ahead Price
0,0.353372
1,11.9247
2,15.8798
3,15.1756
4,12.8551
5,9.7118
6,14.7289
7,12.1347
8,13.1775
9,11.7096
10,13.1398
11,14.2273

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,0.336392,89.9711
0,1,19.6596,137.212
0,2,12.4088,99.6097
0,3,13.4332,1.8032
0,4,19.6984,107.735
0,5,8.19524,85.9125
0,6,0.584139,148.708
0,7,8.76131,141.776
0,8,7.18724,147.614
0,9,14.3402,96.7639
0,10,19.6351,3.41894
0,11,20.9087,70.7737
1,0,0.336392,89.9711
1,1,19.6596,137.212
1,2,12.4088,99.6097
1,3,13.4332,1.8032
1,4,19.6984,107.735
1,5,8.19524,85.9125
1,6,0.584139,148.708
1,7,8.76131,141.776
1,8,7.18724,147.614
1,9,14.3402,96.7639
1,10,19.6351,3.41894
1,11,21.658,96.2981
2,0,0.336392,89.9711
2,1,19.6596,137.212
2,2,12.4088,99.6097
2,3,13.4332,1.8032
2,4,19.6984,107.735
2,5,8.19524,85.9125
2,6,0.584139,148.708
2,7,8.76131,141.776
2,8,7.18724,147.614
2,9,14.3402,96.7639
2,10,21.1692,136.617
2,11,11.1578,32.5833
3,0,0.336392,89.9711
3,1,19.6596,137.212
3,2,12.4088,99.6097
3,3,13.4332,1.8032
3,4,19.6984,107.735
3,5,8.19524,85.9125
3,6,0.584139,148.708
3,7,8.76131,141.776
3,8,7.18724,147.614
3,9,14.3402,96.7639
3,10,21.1692,136.617
3,11,2.61504,88.1853
4,0,0.336392,89.9711
4,1,19.6596,137.212
4,2,12.4088,99.6097
4,3,13.4332,1.8032
4,4,19.6984,107.735
4,5,8.19524,85.9125
4,6,0.584139,148.708
4,7,8.76131,141.776
4,8,7.18724,147.614
4,9,8.22296,1.63216
4,10,1.02329,146.916
4,11,6.61785,115.713
5,0,0.336392,89.9711
5,1,19.6596,137.212
5,2,12.4088,99.6097
5,3,13.4332,1.8032
5,4,19.6984,107.735
5,5,8.19524,85.9125
5,6,0.584139,148.708
5,7,8.76131,141.776
5,8,7.18724,147.614
5,9,8.22296,1.63216
5,10,1.02329,146.916
5,11,8.6402,127.682
6,0,0.336392,89.9711
6,1,19.6596,137.212
6,2,12.4088,99.6097
6,3,13.4332,1.8032
6,4,19.6984,107.735
6,5,8.19524,85.9125
6,6,0.584139,148.708
6,7,8.76131,141.776
6,8,7.18724,147.614
6,9,8.22296,1.63216
6,10,5.4072,79.9717
6,11,7.19007,99.1218
7,0,0.336392,89.9711
7,1,19.6596,137.212
7,2,12.4088,99.6097
7,3,13.4332,1.8032
7,4,19.6984,107.735
7,5,8.19524,85.9125
7,6,0.584139,148.708
7,7,8.76131,141.776
7,8,7.18724,147.614
7,9,8.22296,1.63216
7,10,5.4072,79.9717
7,11,21.48,132.365
8,0,0.336392,89.9711
8,1,19.6596,137.212
8,2,12.4088,99.6097
8,3,13.4332,1.8032
8,4,19.6984,107.735
8,5,8.19524,85.9125
8,6,0.584139,148.708
8,7,8.76131,141.776
8,8,8.46362,61.7939
8,9,2.54191,92.578
8,10,3.66881,108.746
8,11,0.371718,37.1476
9,0,0.336392,89.9711
9,1,19.6596,137.212
9,2,12.4088,99.6097
9,3,13.4332,1.8032
9,4,19.6984,107.735
9,5,8.19524,85.9125
9,6,0.584139,148.708
9,7,8.76131,141.776
9,8,8.46362,61.7939
9,9,2.54191,92.578
9,10,3.66881,108.746
