L(l),4,K,3,T,6

Period,Day Ahead Price
0,3.84822
1,12.7667
2,15.0338
3,15.4979
4,13.3195
5,12.3921

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,3.68944,36.0842
0,1,25.7379,116.722
0,2,25.9421,77.8144
0,3,1.27258,3.83717
0,4,7.25643,149.41
0,5,16.7579,50.8808
1,0,3.68944,36.0842
1,1,25.7379,116.722
1,2,25.9421,77.8144
1,3,1.27258,3.83717
1,4,7.25643,149.41
1,5,12.9923,66.604
2,0,3.68944,36.0842
2,1,25.7379,116.722
2,2,25.9421,77.8144
2,3,1.27258,3.83717
2,4,7.25643,149.41
2,5,0.805719,24.3106
3,0,3.68944,36.0842
3,1,25.7379,116.722
3,2,25.9421,77.8144
3,3,1.27258,3.83717
3,4,15.2704,83.7006
3,5,25.8896,129.51
4,0,3.68944,36.0842
4,1,25.7379,116.722
4,2,25.9421,77.8144
4,3,1.27258,3.83717
4,4,15.2704,83.7006
4,5,14.0761,113.029
5,0,3.68944,36.0842
5,1,25.7379,116.722
5,2,25.9421,77.8144
5,3,1.27258,3.83717
5,4,15.2704,83.7006
5,5,20.3954,69.5177
6,0,3.68944,36.0842
6,1,25.7379,116.722
6,2,25.9421,77.8144
6,3,1.27258,3.83717
6,4,0.645033,46.0018
6,5,19.3818,74.4713
7,0,3.68944,36.0842
7,1,25.7379,116.722
7,2,25.9421,77.8144
7,3,1.27258,3.83717
7,4,0.645033,46.0018
7,5,1.30465,147.154
8,0,3.68944,36.0842
8,1,25.7379,116.722
8,2,25.9421,77.8144
8,3,1.27258,3.83717
8,4,0.645033,46.0018
8,5,25.0951,56.144
9,0,3.68944,36.0842
9,1,25.7379,116.722
9,2,25.9421,77.8144
9,3,18.4328,135.763
9,4,12.8704,4.26983
9,5,14.6056,104.756
10,0,3.68944,36.0842
10,1,25.7379,116.722
10,2,25.9421,77.8144
10,3,18.4328,135.763
10,4,12.8704,4.26983
10,5,0.523353,21.5529
11,0,3.68944,36.0842
11,1,25.7379,116.722
11,2,25.9421,77.8144
11,3,18.4328,135.763
11,4,12.8704,4.26983
11,5,9.61727,136.456
12,0,3.68944,36.0842
12,1,25.7379,116.722
12,2,25.9421,77.8144
12,3,18.4328,135.763
12,4,1.94946,68.641
12,5,17.6571,65.9723
13,0,3.68944,36.0842
13,1,25.7379,116.722
13,2,25.9421,77.8144
13,3,18.4328,135.763
13,4,1.94946,68.641
13,5,18.6198,107.436
14,0,3.68944,36.0842
14,1,25.7379,116.722
14,2,25.9421,77.8144
14,3,18.4328,135.763
14,4,1.94946,68.641
14,5,20.781,87.5577
15,0,3.68944,36.0842
15,1,25.7379,116.722
15,2,25.9421,77.8144
15,3,18.4328,135.763
15,4,19.268,112.255
15,5,5.03939,66.5705
16,0,3.68944,36.0842
16,1,25.7379,116.722
16,2,25.9421,77.8144
16,3,18.4328,135.763
16,4,19.268,112.255
16,5,23.996,104.029
17,0,3.68944,36.0842
17,1,25.7379,116.722
17,2,25.9421,77.8144
17,3,18.4328,135.763
17,4,19.268,112.255
17,5,23.0836,143.087
18,0,3.68944,36.0842
18,1,25.7379,116.722
18,2,25.9421,77.8144
18,3,19.3239,127.628
18,4,4.24903,45.6816
18,5,22.2455,132.537
19,0,3.68944,36.0842
19,1,25.7379,116.722
19,2,25.9421,77.8144
19,3,19.3239,127.628
19,4,4.24903,45.6816
19,5,21.2501,59.5474
20,0,3.68944,36.0842
20,1,25.7379,116.722
20,2,25.9421,77.8144
20,3,19.3239,127.628
20,4,4.24903,45.6816
20,5,16.5649,90.263
21,0,3.68944,36.0842
21,1,25.7379,116.722
21,2,25.9421,77.8144
21,3,19.3239,127.628
21,4,14.7525,90.358
21,5,22.3713,57.3848
22,0,3.68944,36.0842
22,1,25.7379,116.722
22,2,25.9421,77.8144
22,3,19.3239,127.628
22,4,14.7525,90.358
22,5,2.55395,136.592
23,0,3.68944,36.0842
23,1,25.7379,116.722
23,2,25.9421,77.8144
23,3,19.3239,127.628
23,4,14.7525,90.358
23,5,9.4534,9.51354
24,0,3.68944,36.0842
24,1,25.7379,116.722
24,2,25.9421,77.8144
24,3,19.3239,127.628
24,4,12.9224,137.504
24,5,7.40756,138.802
25,0,3.68944,36.0842
25,1,25.7379,116.722
25,2,25.9421,77.8144
25,3,19.3239,127.628
25,4,12.9224,137.504
25,5,19.8068,45.7552
26,0,3.68944,36.0842
26,1,25.7379,116.722
26,2,25.9421,77.8144
26,3,19.3239,127.628
26,4,12.9224,137.504
26,5,1.79479,19.754
27,0,3.68944,36.0842
27,1,25.7379,116.722
27,2,13.2881,90.6327
27,3,3.78688,109.972
27,4,19.0059,53.7435
27,5,5.58336,112.222
28,0,3.68944,36.0842
28,1,25.7379,116.722
28,2,13.2881,90.6327
28,3,3.78688,109.972
28,4,19.0059,53.7435
28,5,14.8592,139.634
29,0,3.68944,36.0842
29,1,25.7379,116.722
29,2,13.2881,90.6327
29,3,3.78688,109.972
29,4,19.0059,53.7435
29,5,12.0741,55.6164
30,0,3.68944,36.0842
30,1,25.7379,116.722
30,2,13.2881,90.6327
30,3,3.78688,109.972
30,4,18.898,82.0532
30,5,13.3798,98.7315
31,0,3.68944,36.0842
31,1,25.7379,116.722
31,2,13.2881,90.6327
31,3,3.78688,109.972
31,4,18.898,82.0532
31,5,21.1791,65.6298
32,0,3.68944,36.0842
32,1,25.7379,116.722
32,2,13.2881,90.6327
32,3,3.78688,109.972
32,4,18.898,82.0532
32,5,9.1451,105.362
33,0,3.68944,36.0842
33,1,25.7379,116.722
33,2,13.2881,90.6327
33,3,3.78688,109.972
33,4,10.5855,76.3428
33,5,10.1776,31.0994
34,0,3.68944,36.0842
34,1,25.7379,116.722
34,2,13.2881,90.6327
34,3,3.78688,109.972
34,4,10.5855,76.3428
34,5,15.2358,31.3137
35,0,3.68944,36.0842
35,1,25.7379,116.722
35,2,13.2881,90.6327
35,3,3.78688,109.972
35,4,10.5855,76.3428
35,5,15.7121,33.4659
36,0,3.68944,36.0842
36,1,25.7379,116.722
36,2,13.2881,90.6327
36,3,16.3541,79.5372
36,4,17.0218,16.5865
36,5,21.0733,69.7119
37,0,3.68944,36.0842
37,1,25.7379,116.722
37,2,13.2881,90.6327
37,3,16.3541,79.5372
37,4,17.0218,16.5865
37,5,15.7474,136.311
38,0,3.68944,36.0842
38,1,25.7379,116.722
38,2,13.2881,90.6327
38,3,16.3541,79.5372
38,4,17.0218,16.5865
38,5,9.75933,145.39
39,0,3.68944,36.0842
39,1,25.7379,116.722
39,2,13.2881,90.6327
39,3,16.3541,79.5372
39,4,7.24803,84.121
39,5,25.2762,99.0397
40,0,3.68944,36.0842
40,1,25.7379,116.722
40,2,13.2881,90.6327
40,3,16.3541,79.5372
40,4,7.24803,84.121
40,5,23.2598,110.094
41,0,3.68944,36.0842
41,1,25.7379,116.722
41,2,13.2881,90.6327
41,3,16.3541,79.5372
41,4,7.24803,84.121
41,5,25.0978,144.546
42,0,3.68944,36.0842
42,1,25.7379,116.722
42,2,13.2881,90.6327
42,3,16.3541,79.5372
42,4,12.0269,93.6019
42,5,22.507,27.0067
43,0,3.68944,36.0842
43,1,25.7379,116.722
43,2,13.2881,90.6327
43,3,16.3541,79.5372
43,4,12.0269,93.6019
43,5,18.5064,65.5746
44,0,3.68944,36.0842
44,1,25.7379,116.722
44,2,13.2881,90.6327
44,3,16.3541,79.5372
44,4,12.0269,93.6019
44,5,2.88433,26.426
45,0,3.68944,36.0842
45,1,25.7379,116.722
45,2,13.2881,90.6327
45,3,17.9308,100.321
45,4,21.478,111.25
45,5,21.0064,93.8318
46,0,3.68944,36.0842
46,1,25.7379,116.722
46,2,13.2881,90.6327
46,3,17.9308,100.321
46,4,21.478,111.25
46,5,21.694,93.378
47,0,3.68944,36.0842
47,1,25.7379,116.722
47,2,13.2881,90.6327
47,3,17.9308,100.321
47,4,21.478,111.25
47,5,1.64001,27.9177
48,0,3.68944,36.0842
48,1,25.7379,116.722
48,2,13.2881,90.6327
48,3,17.9308,100.321
48,4,16.1221,62.0099
48,5,8.44818,68.1783
49,0,3.68944,36.0842
49,1,25.7379,116.722
49,2,13.2881,90.6327
49,3,17.9308,100.321
49,4,16.1221,62.0099
49,5,10.2296,136.638
50,0,3.68944,36.0842
50,1,25.7379,116.722
50,2,13.2881,90.6327
50,3,17.9308,100.321
50,4,16.1221,62.0099
50,5,17.2453,149.664
51,0,3.68944,36.0842
51,1,25.7379,116.722
51,2,13.2881,90.6327
51,3,17.9308,100.321
51,4,7.79144,96.7332
51,5,3.48476,71.0686
52,0,3.68944,36.0842
52,1,25.7379,116.722
52,2,13.2881,90.6327
52,3,17.9308,100.321
52,4,7.79144,96.7332
52,5,12.0252,110.955
53,0,3.68944,36.0842
53,1,25.7379,116.722
53,2,13.2881,90.6327
53,3,17.9308,100.321
53,4,7.79144,96.7332
53,5,9.94579,125.68
54,0,3.68944,36.0842
54,1,25.7379,116.722
54,2,12.1427,2.36437
54,3,11.9826,103.113
54,4,18.722,119.203
54,5,18.4331,53.2041
55,0,3.68944,36.0842
55,1,25.7379,116.722
55,2,12.1427,2.36437
55,3,11.9826,103.113
55,4,18.722,119.203
55,5,12.9514,90.5357
56,0,3.68944,36.0842
56,1,25.7379,116.722
56,2,12.1427,2.36437
56,3,11.9826,103.113
56,4,18.722,119.203
56,5,2.30504,69.5145
57,0,3.68944,36.0842
57,1,25.7379,116.722
57,2,12.1427,2.36437
57,3,11.9826,103.113
57,4,17.5072,119.259
57,5,14.7474,143.147
58,0,3.68944,36.0842
58,1,25.7379,116.722
58,2,12.1427,2.36437
58,3,11.9826,103.113
58,4,17.5072,119.259
58,5,16.7303,41.8494
59,0,3.68944,36.0842
59,1,25.7379,116.722
59,2,12.1427,2.36437
59,3,11.9826,103.113
59,4,17.5072,119.259
59,5,10.1783,113.162
60,0,3.68944,36.0842
60,1,25.7379,116.722
60,2,12.1427,2.36437
60,3,11.9826,103.113
60,4,6.55961,62.1646
60,5,11.8344,29.9122
61,0,3.68944,36.0842
61,1,25.7379,116.722
61,2,12.1427,2.36437
61,3,11.9826,103.113
61,4,6.55961,62.1646
61,5,9.87884,43.4329
62,0,3.68944,36.0842
62,1,25.7379,116.722
62,2,12.1427,2.36437
62,3,11.9826,103.113
62,4,6.55961,62.1646
62,5,21.3703,66.4549
63,0,3.68944,36.0842
63,1,25.7379,116.722
63,2,12.1427,2.36437
63,3,4.8768,145.793
63,4,14.1291,62.3575
63,5,12.3674,22.0296
64,0,3.68944,36.0842
64,1,25.7379,116.722
64,2,12.1427,2.36437
64,3,4.8768,145.793
64,4,14.1291,62.3575
64,5,23.3364,130.368
65,0,3.68944,36.0842
65,1,25.7379,116.722
65,2,12.1427,2.36437
65,3,4.8768,145.793
65,4,14.1291,62.3575
65,5,1.50247,84.1252
66,0,3.68944,36.0842
66,1,25.7379,116.722
66,2,12.1427,2.36437
66,3,4.8768,145.793
66,4,18.6933,16.6246
66,5,22.5388,28.7725
67,0,3.68944,36.0842
67,1,25.7379,116.722
67,2,12.1427,2.36437
67,3,4.8768,145.793
67,4,18.6933,16.6246
67,5,0.90026,49.4076
68,0,3.68944,36.0842
68,1,25.7379,116.722
68,2,12.1427,2.36437
68,3,4.8768,145.793
68,4,18.6933,16.6246
68,5,24.2194,62.5734
69,0,3.68944,36.0842
69,1,25.7379,116.722
69,2,12.1427,2.36437
69,3,4.8768,145.793
69,4,0.470694,32.3982
69,5,4.34847,96.0722
70,0,3.68944,36.0842
70,1,25.7379,116.722
70,2,12.1427,2.36437
70,3,4.8768,145.793
70,4,0.470694,32.3982
70,5,20.0681,99.8068
71,0,3.68944,36.0842
71,1,25.7379,116.722
71,2,12.1427,2.36437
71,3,4.8768,145.793
71,4,0.470694,32.3982
71,5,6.34536,129.076
72,0,3.68944,36.0842
72,1,25.7379,116.722
72,2,12.1427,2.36437
72,3,7.58256,98.1895
72,4,0.715561,112.365
72,5,3.34902,121.689
73,0,3.68944,36.0842
73,1,25.7379,116.722
73,2,12.1427,2.36437
73,3,7.58256,98.1895
73,4,0.715561,112.365
73,5,21.1852,115.842
74,0,3.68944,36.0842
74,1,25.7379,116.722
74,2,12.1427,2.36437
74,3,7.58256,98.1895
74,4,0.715561,112.365
74,5,2.3467,30.9434
75,0,3.68944,36.0842
75,1,25.7379,116.722
75,2,12.1427,2.36437
75,3,7.58256,98.1895
75,4,14.9312,113.155
75,5,13.694,81.814
76,0,3.68944,36.0842
76,1,25.7379,116.722
76,2,12.1427,2.36437
76,3,7.58256,98.1895
76,4,14.9312,113.155
76,5,10.5483,135.997
77,0,3.68944,36.0842
77,1,25.7379,116.722
77,2,12.1427,2.36437
77,3,7.58256,98.1895
77,4,14.9312,113.155
77,5,21.7095,34.1457
78,0,3.68944,36.0842
78,1,25.7379,116.722
78,2,12.1427,2.36437
78,3,7.58256,98.1895
78,4,7.69912,147.212
78,5,9.09169,46.5975
79,0,3.68944,36.0842
79,1,25.7379,116.722
79,2,12.1427,2.36437
79,3,7.58256,98.1895
79,4,7.69912,147.212
79,5,9.73707,37.0853
80,0,3.68944,36.0842
80,1,25.7379,116.722
80,2,12.1427,2.36437
80,3,7.58256,98.1895
80,4,7.69912,147.212
80,5,4.67398,64.8435
81,0,3.68944,36.0842
81,1,9.99957,143.475
81,2,13.1773,149.094
81,3,25.6805,119.769
81,4,6.84631,142.621
81,5,21.0098,6.99693
82,0,3.68944,36.0842
82,1,9.99957,143.475
82,2,13.1773,149.094
82,3,25.6805,119.769
82,4,6.84631,142.621
82,5,16.2268,126.404
83,0,3.68944,36.0842
83,1,9.99957,143.475
83,2,13.1773,149.094
83,3,25.6805,119.769
83,4,6.84631,142.621
83,5,9.77678,83.3436
84,0,3.68944,36.0842
84,1,9.99957,143.475
84,2,13.1773,149.094
84,3,25.6805,119.769
84,4,2.39173,81.3134
84,5,6.75613,81.4918
85,0,3.68944,36.0842
85,1,9.99957,143.475
85,2,13.1773,149.094
85,3,25.6805,119.769
85,4,2.39173,81.3134
85,5,5.09872,4.7551
86,0,3.68944,36.0842
86,1,9.99957,143.475
86,2,13.1773,149.094
86,3,25.6805,119.769
86,4,2.39173,81.3134
86,5,5.42509,66.0236
87,0,3.68944,36.0842
87,1,9.99957,143.475
87,2,13.1773,149.094
87,3,25.6805,119.769
87,4,13.3019,83.1844
87,5,23.1973,50.6198
88,0,3.68944,36.0842
88,1,9.99957,143.475
88,2,13.1773,149.094
88,3,25.6805,119.769
88,4,13.3019,83.1844
88,5,6.5369,106.053
89,0,3.68944,36.0842
89,1,9.99957,143.475
89,2,13.1773,149.094
89,3,25.6805,119.769
89,4,13.3019,83.1844
89,5,2.85345,51.2515
90,0,3.68944,36.0842
90,1,9.99957,143.475
90,2,13.1773,149.094
90,3,16.8624,86.3136
90,4,4.31866,50.6533
90,5,23.7461,95.4662
91,0,3.68944,36.0842
91,1,9.99957,143.475
91,2,13.1773,149.094
91,3,16.8624,86.3136
91,4,4.31866,50.6533
91,5,23.0647,47.8522
92,0,3.68944,36.0842
92,1,9.99957,143.475
92,2,13.1773,149.094
92,3,16.8624,86.3136
92,4,4.31866,50.6533
92,5,14.1203,108.312
93,0,3.68944,36.0842
93,1,9.99957,143.475
93,2,13.1773,149.094
93,3,16.8624,86.3136
93,4,7.70197,117.927
93,5,14.213,133.915
94,0,3.68944,36.0842
94,1,9.99957,143.475
94,2,13.1773,149.094
94,3,16.8624,86.3136
94,4,7.70197,117.927
94,5,0.851064,138.173
95,0,3.68944,36.0842
95,1,9.99957,143.475
95,2,13.1773,149.094
95,3,16.8624,86.3136
95,4,7.70197,117.927
95,5,3.64013,31.8752
96,0,3.68944,36.0842
96,1,9.99957,143.475
96,2,13.1773,149.094
96,3,16.8624,86.3136
96,4,19.5283,89.3851
96,5,9.18958,142.211
97,0,3.68944,36.0842
97,1,9.99957,143.475
97,2,13.1773,149.094
97,3,16.8624,86.3136
97,4,19.5283,89.3851
97,5,6.73784,146.633
98,0,3.68944,36.0842
98,1,9.99957,143.475
98,2,13.1773,149.094
98,3,16.8624,86.3136
98,4,19.5283,89.3851
98,5,20.56,95.2767
99,0,3.68944,36.0842
99,1,9.99957,143.475
99,2,13.1773,149.094
99,3,9.33784,139.064
99,4,11.2078,70.6749
99,5,13.8626,7.59313
100,0,3.68944,36.0842
100,1,9.99957,143.475
100,2,13.1773,149.094
100,3,9.33784,139.064
100,4,11.2078,70.6749
100,5,4.63987,109.392
101,0,3.68944,36.0842
101,1,9.99957,143.475
101,2,13.1773,149.094
101,3,9.33784,139.064
101,4,11.2078,70.6749
101,5,2.14036,58.0671
102,0,3.68944,36.0842
102,1,9.99957,143.475
102,2,13.1773,149.094
102,3,9.33784,139.064
102,4,10.1552,15.6635
102,5,4.40539,146.179
103,0,3.68944,36.0842
103,1,9.99957,143.475
103,2,13.1773,149.094
103,3,9.33784,139.064
103,4,10.1552,15.6635
103,5,18.8391,63.1286
104,0,3.68944,36.0842
104,1,9.99957,143.475
104,2,13.1773,149.094
104,3,9.33784,139.064
104,4,10.1552,15.6635
104,5,17.7203,125.149
105,0,3.68944,36.0842
105,1,9.99957,143.475
105,2,13.1773,149.094
105,3,9.33784,139.064
105,4,6.9218,96.4318
105,5,19.8259,89.2289
106,0,3.68944,36.0842
106,1,9.99957,143.475
106,2,13.1773,149.094
106,3,9.33784,139.064
106,4,6.9218,96.4318
106,5,12.24,97.4456
107,0,3.68944,36.0842
107,1,9.99957,143.475
107,2,13.1773,149.094
107,3,9.33784,139.064
107,4,6.9218,96.4318
107,5,23.7607,2.07869
108,0,3.68944,36.0842
108,1,9.99957,143.475
108,2,15.2805,84.1035
108,3,16.9214,48.308
108,4,13.4902,121.447
108,5,9.66473,69.0791
109,0,3.68944,36.0842
109,1,9.99957,143.475
109,2,15.2805,84.1035
109,3,16.9214,48.308
109,4,13.4902,121.447
109,5,23.5723,60.6681
110,0,3.68944,36.0842
110,1,9.99957,143.475
110,2,15.2805,84.1035
110,3,16.9214,48.308
110,4,13.4902,121.447
110,5,9.92376,6.99485
111,0,3.68944,36.0842
111,1,9.99957,143.475
111,2,15.2805,84.1035
111,3,16.9214,48.308
111,4,1.52348,35.6742
111,5,16.0408,110.269
112,0,3.68944,36.0842
112,1,9.99957,143.475
112,2,15.2805,84.1035
112,3,16.9214,48.308
112,4,1.52348,35.6742
112,5,25.8624,131.415
113,0,3.68944,36.0842
113,1,9.99957,143.475
113,2,15.2805,84.1035
113,3,16.9214,48.308
113,4,1.52348,35.6742
113,5,18.5297,117.822
114,0,3.68944,36.0842
114,1,9.99957,143.475
114,2,15.2805,84.1035
114,3,16.9214,48.308
114,4,23.9324,11.5049
114,5,13.2933,36.8785
115,0,3.68944,36.0842
115,1,9.99957,143.475
115,2,15.2805,84.1035
115,3,16.9214,48.308
115,4,23.9324,11.5049
115,5,21.7385,103.461
116,0,3.68944,36.0842
116,1,9.99957,143.475
116,2,15.2805,84.1035
116,3,16.9214,48.308
116,4,23.9324,11.5049
116,5,25.3536,137.763
117,0,3.68944,36.0842
117,1,9.99957,143.475
117,2,15.2805,84.1035
117,3,7.25168,4.31135
117,4,11.7992,142.2
117,5,1.99814,21.6863
118,0,3.68944,36.0842
118,1,9.99957,143.475
118,2,15.2805,84.1035
118,3,7.25168,4.31135
118,4,11.7992,142.2
118,5,23.2166,120.215
119,0,3.68944,36.0842
119,1,9.99957,143.475
119,2,15.2805,84.1035
119,3,7.25168,4.31135
119,4,11.7992,142.2
119,5,14.7012,86.1742
120,0,3.68944,36.0842
120,1,9.99957,143.475
120,2,15.2805,84.1035
120,3,7.25168,4.31135
120,4,21.4707,4.21415
120,5,16.5297,49.195
121,0,3.68944,36.0842
121,1,9.99957,143.475
121,2,15.2805,84.1035
121,3,7.25168,4.31135
121,4,21.4707,4.21415
121,5,4.40321,15.9792
122,0,3.68944,36.0842
122,1,9.99957,143.475
122,2,15.2805,84.1035
122,3,7.25168,4.31135
122,4,21.4707,4.21415
122,5,25.4177,12.4843
123,0,3.68944,36.0842
123,1,9.99957,143.475
123,2,15.2805,84.1035
123,3,7.25168,4.31135
123,4,18.2616,18.2876
123,5,3.13003,52.3986
124,0,3.68944,36.0842
124,1,9.99957,143.475
124,2,15.2805,84.1035
124,3,7.25168,4.31135
124,4,18.2616,18.2876
124,5,14.1376,4.05198
125,0,3.68944,36.0842
125,1,9.99957,143.475
125,2,15.2805,84.1035
125,3,7.25168,4.31135
125,4,18.2616,18.2876
125,5,19.5982,138.816
126,0,3.68944,36.0842
126,1,9.99957,143.475
126,2,15.2805,84.1035
126,3,18.7032,140.552
126,4,0.247191,144.853
126,5,1.91478,55.61
127,0,3.68944,36.0842
127,1,9.99957,143.475
