L(l),4,K,3,T,8

Period,Day Ahead Price
0,11.2737
1,11.3095
2,12.7326
3,13.8371
4,11.6039
5,12.3044
6,11.806
7,13.4198

Scenario ID,Period,Real Time Price,Renewable Generation Output
0,0,10.771,100.204
0,1,18.3584,9.51334
0,2,17.707,140.353
0,3,5.89333,139.348
0,4,11.974,16.3886
0,5,19.047,21.5053
0,6,10.2634,147.135
0,7,11.2545,94.6774
1,0,10.771,100.204
1,1,18.3584,9.51334
1,2,17.707,140.353
1,3,5.89333,139.348
1,4,11.974,16.3886
1,5,19.047,21.5053
1,6,10.2634,147.135
1,7,19.4625,103.385
2,0,10.771,100.204
2,1,18.3584,9.51334
2,2,17.707,140.353
2,3,5.89333,139.348
2,4,11.974,16.3886
2,5,19.047,21.5053
2,6,10.2634,147.135
2,7,23.2036,139.787
3,0,10.771,100.204
3,1,18.3584,9.51334
3,2,17.707,140.353
3,3,5.89333,139.348
3,4,11.974,16.3886
3,5,19.047,21.5053
3,6,5.78239,97.9139
3,7,23.4607,107.796
4,0,10.771,100.204
4,1,18.3584,9.51334
4,2,17.707,140.353
4,3,5.89333,139.348
4,4,11.974,16.3886
4,5,19.047,21.5053
4,6,5.78239,97.9139
4,7,3.91227,85.361
5,0,10.771,100.204
5,1,18.3584,9.51334
5,2,17.707,140.353
5,3,5.89333,139.348
5,4,11.974,16.3886
5,5,19.047,21.5053
5,6,5.78239,97.9139
5,7,7.97476,67.0224
6,0,10.771,100.204
6,1,18.3584,9.51334
6,2,17.707,140.353
6,3,5.89333,139.348
6,4,11.974,16.3886
6,5,19.047,21.5053
6,6,1.74593,114.633
6,7,17.0099,119.232
7,0,10.771,100.204
7,1,18.3584,9.51334
7,2,17.707,140.353
7,3,5.89333,139.348
7,4,11.974,16.3886
7,5,19.047,21.5053
7,6,1.74593,114.633
7,7,19.1404,20.4589
8,0,10.771,100.204
8,1,18.3584,9.51334
8,2,17.707,140.353
8,3,5.89333,139.348
8,4,11.974,16.3886
8,5,19.047,21.5053
8,6,1.74593,114.633
8,7,21.389,98.1135
9,0,10.771,100.204
9,1,18.3584,9.51334
9,2,17.707,140.353
9,3,5.89333,139.348
9,4,11.974,16.3886
9,5,7.88782,92.3819
9,6,18.1318,90.4398
9,7,7.81422,1.92408
10,0,10.771,100.204
10,1,18.3584,9.51334
10,2,17.707,140.353
10,3,5.89333,139.348
10,4,11.974,16.3886
10,5,7.88782,92.3819
10,6,18.1318,90.4398
10,7,19.2392,63.4789
11,0,10.771,100.204
11,1,18.3584,9.51334
11,2,17.707,140.353
11,3,5.89333,139.348
11,4,11.974,16.3886
11,5,7.88782,92.3819
11,6,18.1318,90.4398
11,7,6.90244,87.697
12,0,10.771,100.204
12,1,18.3584,9.51334
12,2,17.707,140.353
12,3,5.89333,139.348
12,4,11.974,16.3886
12,5,7.88782,92.3819
12,6,24.2889,99.3222
12,7,8.63955,92.9023
13,0,10.771,100.204
13,1,18.3584,9.51334
13,2,17.707,140.353
13,3,5.89333,139.348
13,4,11.974,16.3886
13,5,7.88782,92.3819
13,6,24.2889,99.3222
13,7,9.43503,121.859
14,0,10.771,100.204
14,1,18.3584,9.51334
14,2,17.707,140.353
14,3,5.89333,139.348
14,4,11.974,16.3886
14,5,7.88782,92.3819
14,6,24.2889,99.3222
14,7,15.2952,50.1234
15,0,10.771,100.204
15,1,18.3584,9.51334
15,2,17.707,140.353
15,3,5.89333,139.348
15,4,11.974,16.3886
15,5,7.88782,92.3819
15,6,14.4952,55.1256
15,7,25.4509,3.17112
16,0,10.771,100.204
16,1,18.3584,9.51334
16,2,17.707,140.353
16,3,5.89333,139.348
16,4,11.974,16.3886
16,5,7.88782,92.3819
16,6,14.4952,55.1256
16,7,25.0988,109.116
17,0,10.771,100.204
17,1,18.3584,9.51334
17,2,17.707,140.353
17,3,5.89333,139.348
17,4,11.974,16.3886
17,5,7.88782,92.3819
17,6,14.4952,55.1256
17,7,18.4697,128.668
18,0,10.771,100.204
18,1,18.3584,9.51334
18,2,17.707,140.353
18,3,5.89333,139.348
18,4,11.974,16.3886
18,5,11.2211,60.1712
18,6,25.3506,142.853
18,7,17.1431,91.9061
19,0,10.771,100.204
19,1,18.3584,9.51334
19,2,17.707,140.353
19,3,5.89333,139.348
19,4,11.974,16.3886
19,5,11.2211,60.1712
19,6,25.3506,142.853
19,7,14.987,121.473
20,0,10.771,100.204
20,1,18.3584,9.51334
20,2,17.707,140.353
20,3,5.89333,139.348
20,4,11.974,16.3886
20,5,11.2211,60.1712
20,6,25.3506,142.853
20,7,4.7263,132.472
21,0,10.771,100.204
21,1,18.3584,9.51334
21,2,17.707,140.353
21,3,5.89333,139.348
21,4,11.974,16.3886
21,5,11.2211,60.1712
21,6,2.58827,108.072
21,7,6.67257,125.401
22,0,10.771,100.204
22,1,18.3584,9.51334
22,2,17.707,140.353
22,3,5.89333,139.348
22,4,11.974,16.3886
22,5,11.2211,60.1712
22,6,2.58827,108.072
22,7,17.6287,148.921
23,0,10.771,100.204
23,1,18.3584,9.51334
23,2,17.707,140.353
23,3,5.89333,139.348
23,4,11.974,16.3886
23,5,11.2211,60.1712
23,6,2.58827,108.072
23,7,25.2824,75.1024
24,0,10.771,100.204
24,1,18.3584,9.51334
24,2,17.707,140.353
24,3,5.89333,139.348
24,4,11.974,16.3886
24,5,11.2211,60.1712
24,6,10.271,29.3106
24,7,16.8193,40.942
25,0,10.771,100.204
25,1,18.3584,9.51334
25,2,17.707,140.353
25,3,5.89333,139.348
25,4,11.974,16.3886
25,5,11.2211,60.1712
25,6,10.271,29.3106
25,7,13.3513,58.0302
26,0,10.771,100.204
26,1,18.3584,9.51334
26,2,17.707,140.353
26,3,5.89333,139.348
26,4,11.974,16.3886
26,5,11.2211,60.1712
26,6,10.271,29.3106
26,7,18.0996,116.848
27,0,10.771,100.204
27,1,18.3584,9.51334
27,2,17.707,140.353
27,3,5.89333,139.348
27,4,21.3132,46.2593
27,5,23.933,29.337
27,6,23.4062,44.7229
27,7,25.2594,4.26442
28,0,10.771,100.204
28,1,18.3584,9.51334
28,2,17.707,140.353
28,3,5.89333,139.348
28,4,21.3132,46.2593
28,5,23.933,29.337
28,6,23.4062,44.7229
28,7,10.3568,50.16
29,0,10.771,100.204
29,1,18.3584,9.51334
29,2,17.707,140.353
29,3,5.89333,139.348
29,4,21.3132,46.2593
29,5,23.933,29.337
29,6,23.4062,44.7229
29,7,21.8614,147.992
30,0,10.771,100.204
30,1,18.3584,9.51334
30,2,17.707,140.353
30,3,5.89333,139.348
30,4,21.3132,46.2593
30,5,23.933,29.337
30,6,19.5364,134.515
30,7,17.3825,122.955
31,0,10.771,100.204
31,1,18.3584,9.51334
31,2,17.707,140.353
31,3,5.89333,139.348
31,4,21.3132,46.2593
31,5,23.933,29.337
31,6,19.5364,134.515
31,7,0.201629,95.0843
32,0,10.771,100.204
32,1,18.3584,9.51334
32,2,17.707,140.353
32,3,5.89333,139.348
32,4,21.3132,46.2593
32,5,23.933,29.337
32,6,19.5364,134.515
32,7,14.2256,107.719
33,0,10.771,100.204
33,1,18.3584,9.51334
33,2,17.707,140.353
33,3,5.89333,139.348
33,4,21.3132,46.2593
33,5,23.933,29.337
33,6,15.617,43.4088
33,7,12.7837,30.9733
34,0,10.771,100.204
34,1,18.3584,9.51334
34,2,17.707,140.353
34,3,5.89333,139.348
34,4,21.3132,46.2593
34,5,23.933,29.337
34,6,15.617,43.4088
34,7,8.60172,10.2155
35,0,10.771,100.204
35,1,18.3584,9.51334
35,2,17.707,140.353
35,3,5.89333,139.348
35,4,21.3132,46.2593
35,5,23.933,29.337
35,6,15.617,43.4088
35,7,0.424064,76.8924
36,0,10.771,100.204
36,1,18.3584,9.51334
36,2,17.707,140.353
36,3,5.89333,139.348
36,4,21.3132,46.2593
36,5,8.36816,0.42502
36,6,6.95292,144.298
36,7,24.7325,40.9421
37,0,10.771,100.204
37,1,18.3584,9.51334
37,2,17.707,140.353
37,3,5.89333,139.348
37,4,21.3132,46.2593
37,5,8.36816,0.42502
37,6,6.95292,144.298
37,7,9.0642,94.3915
38,0,10.771,100.204
38,1,18.3584,9.51334
38,2,17.707,140.353
38,3,5.89333,139.348
38,4,21.3132,46.2593
38,5,8.36816,0.42502
38,6,6.95292,144.298
38,7,6.9096,48.1534
39,0,10.771,100.204
39,1,18.3584,9.51334
39,2,17.707,140.353
39,3,5.89333,139.348
39,4,21.3132,46.2593
39,5,8.36816,0.42502
39,6,4.36913,140.213
39,7,3.37895,136.898
40,0,10.771,100.204
40,1,18.3584,9.51334
40,2,17.707,140.353
40,3,5.89333,139.348
40,4,21.3132,46.2593
40,5,8.36816,0.42502
40,6,4.36913,140.213
40,7,15.4432,96.5204
41,0,10.771,100.204
41,1,18.3584,9.51334
41,2,17.707,140.353
41,3,5.89333,139.348
41,4,21.3132,46.2593
41,5,8.36816,0.42502
41,6,4.36913,140.213
41,7,7.78749,43.5162
42,0,10.771,100.204
42,1,18.3584,9.51334
42,2,17.707,140.353
42,3,5.89333,139.348
42,4,21.3132,46.2593
42,5,8.36816,0.42502
42,6,22.23,86.9303
42,7,10.9839,40.6549
43,0,10.771,100.204
43,1,18.3584,9.51334
43,2,17.707,140.353
43,3,5.89333,139.348
43,4,21.3132,46.2593
43,5,8.36816,0.42502
43,6,22.23,86.9303
43,7,8.28198,123.119
44,0,10.771,100.204
44,1,18.3584,9.51334
44,2,17.707,140.353
44,3,5.89333,139.348
44,4,21.3132,46.2593
44,5,8.36816,0.42502
44,6,22.23,86.9303
44,7,15.7413,23.9039
45,0,10.771,100.204
45,1,18.3584,9.51334
45,2,17.707,140.353
45,3,5.89333,139.348
45,4,21.3132,46.2593
45,5,2.7719,9.49251
45,6,13.1646,37.4616
45,7,20.9926,41.0984
46,0,10.771,100.204
46,1,18.3584,9.51334
46,2,17.707,140.353
46,3,5.89333,139.348
46,4,21.3132,46.2593
46,5,2.7719,9.49251
46,6,13.1646,37.4616
46,7,25.4556,122.275
47,0,10.771,100.204
47,1,18.3584,9.51334
47,2,17.707,140.353
47,3,5.89333,139.348
47,4,21.3132,46.2593
47,5,2.7719,9.49251
47,6,13.1646,37.4616
47,7,23.605,78.9299
48,0,10.771,100.204
48,1,18.3584,9.51334
48,2,17.707,140.353
48,3,5.89333,139.348
48,4,21.3132,46.2593
48,5,2.7719,9.49251
48,6,14.5714,109.31
48,7,13.8656,59.9347
49,0,10.771,100.204
49,1,18.3584,9.51334
49,2,17.707,140.353
49,3,5.89333,139.348
49,4,21.3132,46.2593
49,5,2.7719,9.49251
49,6,14.5714,109.31
49,7,19.0499,129.619
50,0,10.771,100.204
50,1,18.3584,9.51334
50,2,17.707,140.353
50,3,5.89333,139.348
50,4,21.3132,46.2593
50,5,2.7719,9.49251
50,6,14.5714,109.31
50,7,12.1594,112.35
51,0,10.771,100.204
51,1,18.3584,9.51334
51,2,17.707,140.353
51,3,5.89333,139.348
51,4,21.3132,46.2593
51,5,2.7719,9.49251
51,6,23.4651,94.1382
51,7,9.79532,62.8375
52,0,10.771,100.204
52,1,18.3584,9.51334
52,2,17.707,140.353
52,3,5.89333,139.348
52,4,21.3132,46.2593
52,5,2.7719,9.49251
52,6,23.4651,94.1382
52,7,0.570579,108.805
53,0,10.771,100.204
53,1,18.3584,9.51334
53,2,17.707,140.353
53,3,5.89333,139.348
53,4,21.3132,46.2593
53,5,2.7719,9.49251
53,6,23.4651,94.1382
53,7,1.25302,43.1549
54,0,10.771,100.204
54,1,18.3584,9.51334
54,2,17.707,140.353
54,3,5.89333,139.348
54,4,1.23092,118.11
54,5,8.96202,14.2417
54,6,12.8166,89.982
54,7,1.20611,26.7229
55,0,10.771,100.204
55,1,18.3584,9.51334
55,2,17.707,140.353
55,3,5.89333,139.348
55,4,1.23092,118.11
55,5,8.96202,14.2417
55,6,12.8166,89.982
55,7,5.20911,96.0537
56,0,10.771,100.204
56,1,18.3584,9.51334
56,2,17.707,140.353
56,3,5.89333,139.348
56,4,1.23092,118.11
56,5,8.96202,14.2417
56,6,12.8166,89.982
56,7,21.3622,74.9803
57,0,10.771,100.204
57,1,18.3584,9.51334
57,2,17.707,140.353
57,3,5.89333,139.348
57,4,1.23092,118.11
57,5,8.96202,14.2417
57,6,5.99353,64.0702
57,7,24.1921,36.612
58,0,10.771,100.204
58,1,18.3584,9.51334
58,2,17.707,140.353
58,3,5.89333,139.348
58,4,1.23092,118.11
58,5,8.96202,14.2417
58,6,5.99353,64.0702
58,7,20.0434,37.3506
59,0,10.771,100.204
59,1,18.3584,9.51334
59,2,17.707,140.353
59,3,5.89333,139.348
59,4,1.23092,118.11
59,5,8.96202,14.2417
59,6,5.99353,64.0702
59,7,1.68676,56.4503
60,0,10.771,100.204
60,1,18.3584,9.51334
60,2,17.707,140.353
60,3,5.89333,139.348
60,4,1.23092,118.11
60,5,8.96202,14.2417
60,6,6.81272,118.204
60,7,10.6174,130.843
61,0,10.771,100.204
61,1,18.3584,9.51334
61,2,17.707,140.353
61,3,5.89333,139.348
61,4,1.23092,118.11
61,5,8.96202,14.2417
61,6,6.81272,118.204
61,7,16.9084,58.1135
62,0,10.771,100.204
62,1,18.3584,9.51334
62,2,17.707,140.353
62,3,5.89333,139.348
62,4,1.23092,118.11
62,5,8.96202,14.2417
62,6,6.81272,118.204
62,7,17.8737,83.7315
63,0,10.771,100.204
63,1,18.3584,9.51334
63,2,17.707,140.353
63,3,5.89333,139.348
63,4,1.23092,118.11
63,5,17.5677,60.1697
63,6,20.6606,35.5576
63,7,23.7542,33.1112
64,0,10.771,100.204
64,1,18.3584,9.51334
64,2,17.707,140.353
64,3,5.89333,139.348
64,4,1.23092,118.11
64,5,17.5677,60.1697
64,6,20.6606,35.5576
64,7,24.9021,96.9465
65,0,10.771,100.204
65,1,18.3584,9.51334
65,2,17.707,140.353
65,3,5.89333,139.348
65,4,1.23092,118.11
65,5,17.5677,60.1697
65,6,20.6606,35.5576
65,7,2.20658,63.8164
66,0,10.771,100.204
66,1,18.3584,9.51334
66,2,17.707,140.353
66,3,5.89333,139.348
66,4,1.23092,118.11
66,5,17.5677,60.1697
66,6,19.2499,134.128
66,7,10.278,69.2417
67,0,10.771,100.204
67,1,18.3584,9.51334
67,2,17.707,140.353
67,3,5.89333,139.348
67,4,1.23092,118.11
67,5,17.5677,60.1697
67,6,19.2499,134.128
67,7,21.9533,62.588
68,0,10.771,100.204
68,1,18.3584,9.51334
68,2,17.707,140.353
68,3,5.89333,139.348
68,4,1.23092,118.11
68,5,17.5677,60.1697
68,6,19.2499,134.128
68,7,4.86142,133.883
69,0,10.771,100.204
69,1,18.3584,9.51334
69,2,17.707,140.353
69,3,5.89333,139.348
69,4,1.23092,118.11
69,5,17.5677,60.1697
69,6,24.8959,20.3125
69,7,18.3288,35.005
70,0,10.771,100.204
70,1,18.3584,9.51334
70,2,17.707,140.353
70,3,5.89333,139.348
70,4,1.23092,118.11
70,5,17.5677,60.1697
70,6,24.8959,20.3125
70,7,1.83832,135.795
71,0,10.771,100.204
71,1,18.3584,9.51334
71,2,17.707,140.353
71,3,5.89333,139.348
71,4,1.23092,118.11
71,5,17.5677,60.1697
71,6,24.8959,20.3125
71,7,22.7168,133.849
72,0,10.771,100.204
72,1,18.3584,9.51334
72,2,17.707,140.353
72,3,5.89333,139.348
72,4,1.23092,118.11
72,5,8.37622,101.311
72,6,2.32939,128.666
72,7,10.5345,120.629
73,0,10.771,100.204
73,1,18.3584,9.51334
73,2,17.707,140.353
73,3,5.89333,139.348
73,4,1.23092,118.11
73,5,8.37622,101.311
73,6,2.32939,128.666
73,7,3.54657,26.4111
74,0,10.771,100.204
74,1,18.3584,9.51334
74,2,17.707,140.353
74,3,5.89333,139.348
74,4,1.23092,118.11
74,5,8.37622,101.311
74,6,2.32939,128.666
74,7,1.38308,30.1923
75,0,10.771,100.204
75,1,18.3584,9.51334
75,2,17.707,140.353
75,3,5.89333,139.348
75,4,1.23092,118.11
75,5,8.37622,101.311
75,6,11.2728,126.149
75,7,14.3626,69.2338
76,0,10.771,100.204
76,1,18.3584,9.51334
76,2,17.707,140.353
76,3,5.89333,139.348
76,4,1.23092,118.11
76,5,8.37622,101.311
76,6,11.2728,126.149
76,7,1.91273,30.41
77,0,10.771,100.204
77,1,18.3584,9.51334
77,2,17.707,140.353
77,3,5.89333,139.348
77,4,1.23092,118.11
77,5,8.37622,101.311
77,6,11.2728,126.149
77,7,22.0735,114.152
78,0,10.771,100.204
78,1,18.3584,9.51334
78,2,17.707,140.353
78,3,5.89333,139.348
78,4,1.23092,118.11
78,5,8.37622,101.311
78,6,19.6181,5.13369
78,7,19.7845,114.391
79,0,10.771,100.204
79,1,18.3584,9.51334
79,2,17.707,140.353
79,3,5.89333,139.348
79,4,1.23092,118.11
79,5,8.37622,101.311
79,6,19.6181,5.13369
79,7,25.5257,107.808
80,0,10.771,100.204
80,1,18.3584,9.51334
80,2,17.707,140.353
80,3,5.89333,139.348
80,4,1.23092,118.11
80,5,8.37622,101.311
80,6,19.6181,5.13369
80,7,10.6318,9.99377
81,0,10.771,100.204
81,1,18.3584,9.51334
81,2,17.707,140.353
81,3,7.99688,114.003
81,4,7.39556,2.7605
81,5,16.8553,81.9147
81,6,3.38994,3.2942
81,7,3.74816,120.633
82,0,10.771,100.204
82,1,18.3584,9.51334
82,2,17.707,140.353
82,3,7.99688,114.003
82,4,7.39556,2.7605
82,5,16.8553,81.9147
82,6,3.38994,3.2942
82,7,13.7342,148.278
83,0,10.771,100.204
83,1,18.3584,9.51334
83,2,17.707,140.353
83,3,7.99688,114.003
83,4,7.39556,2.7605
83,5,16.8553,81.9147
83,6,3.38994,3.2942
83,7,5.75839,107.282
84,0,10.771,100.204
84,1,18.3584,9.51334
84,2,17.707,140.353
84,3,7.99688,114.003
84,4,7.39556,2.7605
84,5,16.8553,81.9147
84,6,25.9014,44.7639
84,7,22.9079,138.964
85,0,10.771,100.204
85,1,18.3584,9.51334
85,2,17.707,140.353
85,3,7.99688,114.003
85,4,7.39556,2.7605
85,5,16.8553,81.9147
85,6,25.9014,44.7639
85,7,24.6631,142.766
86,0,10.771,100.204
86,1,18.3584,9.51334
86,2,17.707,140.353
86,3,7.99688,114.003
86,4,7.39556,2.7605
86,5,16.8553,81.9147
86,6,25.9014,44.7639
86,7,21.625,123.346
87,0,10.771,100.204
87,1,18.3584,9.51334
87,2,17.707,140.353
87,3,7.99688,114.003
87,4,7.39556,2.7605
87,5,16.8553,81.9147
87,6,24.8745,127.681
87,7,21.9467,35.5356
88,0,10.771,100.204
88,1,18.3584,9.51334
88,2,17.707,140.353
88,3,7.99688,114.003
88,4,7.39556,2.7605
88,5,16.8553,81.9147
88,6,24.8745,127.681
88,7,16.2889,147.076
89,0,10.771,100.204
89,1,18.3584,9.51334
89,2,17.707,140.353
89,3,7.99688,114.003
89,4,7.39556,2.7605
89,5,16.8553,81.9147
89,6,24.8745,127.681
89,7,10.7374,101.954
90,0,10.771,100.204
90,1,18.3584,9.51334
90,2,17.707,140.353
90,3,7.99688,114.003
90,4,7.39556,2.7605
90,5,21.69,46.5026
90,6,22.827,69.4564
90,7,4.72657,144.808
91,0,10.771,100.204
91,1,18.3584,9.51334
91,2,17.707,140.353
91,3,7.99688,114.003
91,4,7.39556,2.7605
91,5,21.69,46.5026
91,6,22.827,69.4564
91,7,3.67252,38.3037
92,0,10.771,100.204
92,1,18.3584,9.51334
92,2,17.707,140.353
92,3,7.99688,114.003
92,4,7.39556,2.7605
92,5,21.69,46.5026
92,6,22.827,69.4564
92,7,4.37113,148.535
93,0,10.771,100.204
93,1,18.3584,9.51334
93,2,17.707,140.353
93,3,7.99688,114.003
93,4,7.39556,2.7605
93,5,21.69,46.5026
93,6,2.62476,65.7597
93,7,0.425714,139.36
